Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AF-2687-10A-01D-1732-01	1	111739225	150822330	8689	0.0084
TCGA-AF-2687-10A-01D-1732-01	1	150822391	150853200	33	0.699
TCGA-AF-2687-10A-01D-1732-01	1	150853218	151028547	172	0.0138
TCGA-AF-2687-10A-01D-1732-01	1	151028563	151035324	36	0.6094
TCGA-AF-2687-10A-01D-1732-01	1	151040529	176926556	17398	-0.0021
TCGA-AF-2687-10A-01D-1732-01	1	176926632	176932916	26	0.466
TCGA-AF-2687-10A-01D-1732-01	1	176935278	184506768	5188	-2.00E-04
TCGA-AF-2687-10A-01D-1732-01	1	184507485	184510415	6	0.9665
TCGA-AF-2687-10A-01D-1732-01	1	184514547	187914780	2178	-0.0145
TCGA-AF-2687-10A-01D-1732-01	1	187915106	187915150	2	-2.5484
TCGA-AF-2687-10A-01D-1732-01	1	187918670	194994473	4743	-0.0136
TCGA-AF-2687-10A-01D-1732-01	1	194997658	195028725	43	-0.4352
TCGA-AF-2687-10A-01D-1732-01	1	195034035	224066931	19664	0.0037
TCGA-AF-2687-10A-01D-1732-01	1	224067590	224124954	36	0.3551
TCGA-AF-2687-10A-01D-1732-01	1	224125262	226566804	1424	-0.0017
TCGA-AF-2687-10A-01D-1732-01	1	226574403	226772768	82	0.3176
TCGA-AF-2687-10A-01D-1732-01	1	226774301	229793717	2113	0.0056
TCGA-AF-2687-10A-01D-1732-01	1	229797316	229799557	2	1.8276
TCGA-AF-2687-10A-01D-1732-01	1	229800418	240487462	8315	0.0062
TCGA-AF-2687-10A-01D-1732-01	1	240487511	240491378	2	-1.7143
TCGA-AF-2687-10A-01D-1732-01	1	240491493	246804070	4163	0.0015
TCGA-AF-2687-10A-01D-1732-01	1	246815817	246863836	33	-0.5285
TCGA-AF-2687-10A-01D-1732-01	1	246875180	247191011	144	0.1358
TCGA-AF-2687-10A-01D-1732-01	2	2784	52153918	36873	-2.00E-04
TCGA-AF-2687-10A-01D-1732-01	2	52153939	52153976	2	-2.2041
TCGA-AF-2687-10A-01D-1732-01	2	52154704	67941903	10436	-0.0066
TCGA-AF-2687-10A-01D-1732-01	2	67949788	67951607	2	0.8064
TCGA-AF-2687-10A-01D-1732-01	2	67954205	68001847	29	0.2841
TCGA-AF-2687-10A-01D-1732-01	2	68002421	68010754	8	0.8983
TCGA-AF-2687-10A-01D-1732-01	2	68012166	115256049	24122	-0.0026
TCGA-AF-2687-10A-01D-1732-01	2	115256064	115258975	14	0.7394
TCGA-AF-2687-10A-01D-1732-01	2	115259068	212881417	59397	-0.0045
TCGA-AF-2687-10A-01D-1732-01	2	212883288	212900057	34	-0.705
TCGA-AF-2687-10A-01D-1732-01	2	212900070	229041932	10580	-0.0076
TCGA-AF-2687-10A-01D-1732-01	2	229042092	229042761	2	-2.9564
TCGA-AF-2687-10A-01D-1732-01	2	229046578	230296522	883	-0.0034
TCGA-AF-2687-10A-01D-1732-01	2	230296640	230355417	24	0.43
TCGA-AF-2687-10A-01D-1732-01	2	230356032	239617601	5873	0.012
TCGA-AF-2687-10A-01D-1732-01	2	239617712	239695421	46	0.375
TCGA-AF-2687-10A-01D-1732-01	2	239703624	239993150	187	0.0083
TCGA-AF-2687-10A-01D-1732-01	2	239994583	239996326	2	1.7227
TCGA-AF-2687-10A-01D-1732-01	2	239998030	241276509	858	-0.0047
TCGA-AF-2687-10A-01D-1732-01	2	241293484	241364576	27	0.383
TCGA-AF-2687-10A-01D-1732-01	2	241376618	242234289	420	0.0215
TCGA-AF-2687-10A-01D-1732-01	2	242238534	242381759	20	0.6149
TCGA-AF-2687-10A-01D-1732-01	2	242381796	242738129	150	0.1039
TCGA-AF-2687-10A-01D-1732-01	3	35345	1888098	1679	-0.0499
TCGA-AF-2687-10A-01D-1732-01	3	1888371	1891976	7	-1.4695
TCGA-AF-2687-10A-01D-1732-01	3	1893149	26588205	18380	4.00E-04
TCGA-AF-2687-10A-01D-1732-01	3	26589978	26589989	8	-1.3673
TCGA-AF-2687-10A-01D-1732-01	3	26590953	68828949	27765	-0.003
TCGA-AF-2687-10A-01D-1732-01	3	68828974	68830103	13	-1.2528
TCGA-AF-2687-10A-01D-1732-01	3	68831448	75503860	4873	-3.00E-04
TCGA-AF-2687-10A-01D-1732-01	3	75509797	75651239	61	-0.5715
TCGA-AF-2687-10A-01D-1732-01	3	75655239	96938796	9163	-0.0043
TCGA-AF-2687-10A-01D-1732-01	3	96949570	96950800	2	-3.4804
TCGA-AF-2687-10A-01D-1732-01	3	96951370	120202669	14162	-0.001
TCGA-AF-2687-10A-01D-1732-01	3	120213623	120300731	43	0.8327
TCGA-AF-2687-10A-01D-1732-01	3	120303200	151982285	19326	0.006
TCGA-AF-2687-10A-01D-1732-01	3	151982318	152045473	39	0.5561
TCGA-AF-2687-10A-01D-1732-01	3	152046385	163990962	7404	8.00E-04
TCGA-AF-2687-10A-01D-1732-01	3	163995351	164081881	56	0.328
TCGA-AF-2687-10A-01D-1732-01	3	164089706	189893878	16009	-0.0024
TCGA-AF-2687-10A-01D-1732-01	3	189895473	189897842	3	-1.5838
TCGA-AF-2687-10A-01D-1732-01	3	189898055	194360596	3190	-0.0036
TCGA-AF-2687-10A-01D-1732-01	3	194360656	194365597	19	-1.1691
TCGA-AF-2687-10A-01D-1732-01	3	194369129	199380515	2707	0.0373
TCGA-AF-2687-10A-01D-1732-01	4	2281	567749	277	-0.025
TCGA-AF-2687-10A-01D-1732-01	4	570089	1035111	130	0.4163
TCGA-AF-2687-10A-01D-1732-01	4	1035171	1284961	139	0.018
TCGA-AF-2687-10A-01D-1732-01	4	1287569	1353628	30	0.4877
TCGA-AF-2687-10A-01D-1732-01	4	1354829	9066075	4673	0.0207
TCGA-AF-2687-10A-01D-1732-01	4	9070328	9105392	11	-0.6156
TCGA-AF-2687-10A-01D-1732-01	4	9106943	9832726	545	0.0131
TCGA-AF-2687-10A-01D-1732-01	4	9832946	9840596	26	-1.23
TCGA-AF-2687-10A-01D-1732-01	4	9843312	64376535	33629	0.0033
TCGA-AF-2687-10A-01D-1732-01	4	64380064	64380112	2	-2.4845
TCGA-AF-2687-10A-01D-1732-01	4	64380125	64390200	20	-0.4724
TCGA-AF-2687-10A-01D-1732-01	4	64390349	64390853	6	-3.0659
TCGA-AF-2687-10A-01D-1732-01	4	64399026	68943659	2858	-0.0037
TCGA-AF-2687-10A-01D-1732-01	4	68964800	68970737	5	1.0589
TCGA-AF-2687-10A-01D-1732-01	4	68977394	69057550	14	-0.2368
TCGA-AF-2687-10A-01D-1732-01	4	69057755	69168574	62	-1.4631
TCGA-AF-2687-10A-01D-1732-01	4	69171930	138311689	41025	8.00E-04
TCGA-AF-2687-10A-01D-1732-01	4	138311870	138312376	10	-1.212
TCGA-AF-2687-10A-01D-1732-01	4	138312388	191261904	34007	0.0031
TCGA-AF-2687-10A-01D-1732-01	5	68532	738748	308	0.1963
TCGA-AF-2687-10A-01D-1732-01	5	751371	832860	30	1.1101
TCGA-AF-2687-10A-01D-1732-01	5	832881	21485033	15419	0.0079
TCGA-AF-2687-10A-01D-1732-01	5	21486957	21487755	4	-1.6258
TCGA-AF-2687-10A-01D-1732-01	5	21488195	46307687	15022	-0.0029
TCGA-AF-2687-10A-01D-1732-01	5	46308278	46309259	5	-1.6359
TCGA-AF-2687-10A-01D-1732-01	5	46313969	57357403	5075	-0.0102
TCGA-AF-2687-10A-01D-1732-01	5	57361784	57368048	22	-0.6329
TCGA-AF-2687-10A-01D-1732-01	5	57368088	180722926	77176	0.0013
TCGA-AF-2687-10A-01D-1732-01	6	94661	27735939	20671	0.0045
TCGA-AF-2687-10A-01D-1732-01	6	27736372	27764055	12	1.0348
TCGA-AF-2687-10A-01D-1732-01	6	27764069	27799035	52	0.3387
TCGA-AF-2687-10A-01D-1732-01	6	27799798	29945051	1006	0.0208
TCGA-AF-2687-10A-01D-1732-01	6	29945166	29982787	24	0.9081
TCGA-AF-2687-10A-01D-1732-01	6	29984938	54039234	14984	0.0074
TCGA-AF-2687-10A-01D-1732-01	6	54039339	54039814	4	2.0134
TCGA-AF-2687-10A-01D-1732-01	6	54043307	58540533	2421	-0.0141
TCGA-AF-2687-10A-01D-1732-01	6	58540616	58543387	3	-2.7343
TCGA-AF-2687-10A-01D-1732-01	6	58544196	67068322	3037	-0.0089
TCGA-AF-2687-10A-01D-1732-01	6	67081055	67099956	37	0.3722
TCGA-AF-2687-10A-01D-1732-01	6	67100079	74648529	5019	-0.0018
TCGA-AF-2687-10A-01D-1732-01	6	74648586	74658138	11	0.978
TCGA-AF-2687-10A-01D-1732-01	6	74660283	79028500	2772	-0.0023
TCGA-AF-2687-10A-01D-1732-01	6	79028521	79091893	107	-0.4115
TCGA-AF-2687-10A-01D-1732-01	6	79091904	81334706	1433	0.0026
TCGA-AF-2687-10A-01D-1732-01	6	81340908	81346253	33	-0.9213
TCGA-AF-2687-10A-01D-1732-01	6	81351060	86569151	3278	0.0036
TCGA-AF-2687-10A-01D-1732-01	6	86571053	86571521	2	-1.6598
TCGA-AF-2687-10A-01D-1732-01	6	86572034	94709128	5267	-0.0011
TCGA-AF-2687-10A-01D-1732-01	6	94709261	94714285	2	-2.3488
TCGA-AF-2687-10A-01D-1732-01	6	94716253	170892930	49725	0.0024
TCGA-AF-2687-10A-01D-1732-01	7	52911	713443	146	0.2656
TCGA-AF-2687-10A-01D-1732-01	7	715448	952366	81	-0.0295
TCGA-AF-2687-10A-01D-1732-01	7	954726	1136145	94	0.369
TCGA-AF-2687-10A-01D-1732-01	7	1138256	22401305	15784	-0.008
TCGA-AF-2687-10A-01D-1732-01	7	22401997	22403012	2	-2.8414
TCGA-AF-2687-10A-01D-1732-01	7	22405279	38307187	11399	-5.00E-04
TCGA-AF-2687-10A-01D-1732-01	7	38307556	38344670	42	0.3483
TCGA-AF-2687-10A-01D-1732-01	7	38345081	38353968	7	-0.2309
TCGA-AF-2687-10A-01D-1732-01	7	38357890	38363001	4	-2.0312
TCGA-AF-2687-10A-01D-1732-01	7	38364572	56728994	12587	-0.0027
TCGA-AF-2687-10A-01D-1732-01	7	56729607	56736308	3	-2.0192
TCGA-AF-2687-10A-01D-1732-01	7	56739660	75891507	6895	0.0334
TCGA-AF-2687-10A-01D-1732-01	7	75892221	75991284	16	0.3977
TCGA-AF-2687-10A-01D-1732-01	7	75991299	100741642	15193	-0.0096
TCGA-AF-2687-10A-01D-1732-01	7	100743285	100891737	62	0.4751
TCGA-AF-2687-10A-01D-1732-01	7	100896410	102160247	517	0.0231
TCGA-AF-2687-10A-01D-1732-01	7	102162515	102167622	2	-1.9407
TCGA-AF-2687-10A-01D-1732-01	7	102168241	109228157	4561	-0.0125
TCGA-AF-2687-10A-01D-1732-01	7	109228158	109241146	14	-1.3557
TCGA-AF-2687-10A-01D-1732-01	7	109241218	133435751	14754	5.00E-04
TCGA-AF-2687-10A-01D-1732-01	7	133435849	133446174	23	-1.7193
TCGA-AF-2687-10A-01D-1732-01	7	133446205	141407299	5205	0.0035
TCGA-AF-2687-10A-01D-1732-01	7	141408343	141417001	12	-0.9975
TCGA-AF-2687-10A-01D-1732-01	7	141417096	141427982	4	-5.5222
TCGA-AF-2687-10A-01D-1732-01	7	141428244	141444033	30	-1.9746
TCGA-AF-2687-10A-01D-1732-01	7	141445459	143540168	1318	0.0013
TCGA-AF-2687-10A-01D-1732-01	7	143540182	143706451	43	-0.5498
TCGA-AF-2687-10A-01D-1732-01	7	143706682	149332398	3555	0.0065
TCGA-AF-2687-10A-01D-1732-01	7	149338191	149343407	2	-1.9774
TCGA-AF-2687-10A-01D-1732-01	7	149343417	152778571	2017	0.0122
TCGA-AF-2687-10A-01D-1732-01	7	152778578	152778645	2	-2.5425
TCGA-AF-2687-10A-01D-1732-01	7	152778648	154020828	863	0.0197
TCGA-AF-2687-10A-01D-1732-01	7	154024104	154030546	4	1.4438
TCGA-AF-2687-10A-01D-1732-01	7	154031763	158819765	3246	0.0518
TCGA-AF-2687-10A-01D-1732-01	8	21254	585875	335	0.1594
TCGA-AF-2687-10A-01D-1732-01	8	585892	585908	2	4.2141
TCGA-AF-2687-10A-01D-1732-01	8	591043	2069894	1162	0.0628
TCGA-AF-2687-10A-01D-1732-01	8	2070054	2070284	2	1.8821
TCGA-AF-2687-10A-01D-1732-01	8	2072585	3984221	2271	0.0296
TCGA-AF-2687-10A-01D-1732-01	8	3984471	4005988	60	0.3201
TCGA-AF-2687-10A-01D-1732-01	8	4006512	4776560	1227	0.0222
TCGA-AF-2687-10A-01D-1732-01	8	4776712	4784660	5	-1.3773
TCGA-AF-2687-10A-01D-1732-01	8	4784976	5360124	718	0.0315
TCGA-AF-2687-10A-01D-1732-01	8	5360467	5360576	2	-2.4421
TCGA-AF-2687-10A-01D-1732-01	8	5361898	8040455	2267	0.0199
TCGA-AF-2687-10A-01D-1732-01	8	8040626	8109713	12	-0.9804
TCGA-AF-2687-10A-01D-1732-01	8	8124554	39349816	22819	0.0082
TCGA-AF-2687-10A-01D-1732-01	8	39354760	39506122	59	0.8008
TCGA-AF-2687-10A-01D-1732-01	8	39507456	47113602	2617	0.0062
TCGA-AF-2687-10A-01D-1732-01	8	47113638	47303385	57	0.3921
TCGA-AF-2687-10A-01D-1732-01	8	47308311	72377865	15225	0.008
TCGA-AF-2687-10A-01D-1732-01	8	72377918	72379153	8	-2.4084
TCGA-AF-2687-10A-01D-1732-01	8	72382417	116101838	26238	-0.0101
TCGA-AF-2687-10A-01D-1732-01	8	116101897	116102491	3	-1.8821
TCGA-AF-2687-10A-01D-1732-01	8	116103044	146268959	20808	0.0124
TCGA-AF-2687-10A-01D-1732-01	9	36587	41723629	31327	9.00E-04
TCGA-AF-2687-10A-01D-1732-01	9	41723631	43141333	30	-0.6134
TCGA-AF-2687-10A-01D-1732-01	9	43156984	44183430	74	0.1244
TCGA-AF-2687-10A-01D-1732-01	9	44184876	44813196	58	0.6488
TCGA-AF-2687-10A-01D-1732-01	9	44815938	67673801	152	-0.1297
TCGA-AF-2687-10A-01D-1732-01	9	67675871	67675879	5	2.3943
TCGA-AF-2687-10A-01D-1732-01	9	67678160	137353926	47096	0.0049
TCGA-AF-2687-10A-01D-1732-01	9	137355443	137356233	2	-3.0232
TCGA-AF-2687-10A-01D-1732-01	9	137357618	140211215	1114	0.1176
TCGA-AF-2687-10A-01D-1732-01	10	62759	24417681	19235	0.0022
TCGA-AF-2687-10A-01D-1732-01	10	24417682	24418060	9	1.5268
TCGA-AF-2687-10A-01D-1732-01	10	24418914	51500366	14452	0.0013
TCGA-AF-2687-10A-01D-1732-01	10	51510990	51561926	4	-2.4611
TCGA-AF-2687-10A-01D-1732-01	10	51573774	66976282	11020	-0.0044
TCGA-AF-2687-10A-01D-1732-01	10	66977929	66984436	27	-2.0272
TCGA-AF-2687-10A-01D-1732-01	10	66984452	134443606	45915	0.01
TCGA-AF-2687-10A-01D-1732-01	10	134455381	134696706	113	0.3847
TCGA-AF-2687-10A-01D-1732-01	10	134698167	135356694	264	0.0815
TCGA-AF-2687-10A-01D-1732-01	11	188510	63466592	39497	0.0038
TCGA-AF-2687-10A-01D-1732-01	11	63473292	63511087	22	0.5235
TCGA-AF-2687-10A-01D-1732-01	11	63511791	63693837	79	0.0149
TCGA-AF-2687-10A-01D-1732-01	11	63694525	63700946	2	-1.2906
TCGA-AF-2687-10A-01D-1732-01	11	63701180	64379445	257	0.0267
TCGA-AF-2687-10A-01D-1732-01	11	64381888	65426675	404	0.331
TCGA-AF-2687-10A-01D-1732-01	11	65427086	134449982	46860	0.0052
TCGA-AF-2687-10A-01D-1732-01	12	20703	739459	419	0.1754
TCGA-AF-2687-10A-01D-1732-01	12	739524	744290	16	-3.7164
TCGA-AF-2687-10A-01D-1732-01	12	745615	2121736	845	0.0525
TCGA-AF-2687-10A-01D-1732-01	12	2121753	2123308	13	0.6053
TCGA-AF-2687-10A-01D-1732-01	12	2124532	3222506	790	0.0115
TCGA-AF-2687-10A-01D-1732-01	12	3226495	3227046	2	1.4634
TCGA-AF-2687-10A-01D-1732-01	12	3227214	6863014	2835	0.0104
TCGA-AF-2687-10A-01D-1732-01	12	6865078	6900127	17	0.5385
TCGA-AF-2687-10A-01D-1732-01	12	6900326	9521823	1265	0.0226
TCGA-AF-2687-10A-01D-1732-01	12	9525137	9604941	22	-1.3516
TCGA-AF-2687-10A-01D-1732-01	12	9606832	11106639	1044	-0.0361
TCGA-AF-2687-10A-01D-1732-01	12	11108116	11132555	13	-1.4957
TCGA-AF-2687-10A-01D-1732-01	12	11132799	70079159	37073	-9.00E-04
TCGA-AF-2687-10A-01D-1732-01	12	70079450	70094273	5	-1.6707
TCGA-AF-2687-10A-01D-1732-01	12	70094444	122681597	33468	-0.0024
TCGA-AF-2687-10A-01D-1732-01	12	122681764	122758820	56	0.3458
TCGA-AF-2687-10A-01D-1732-01	12	122761809	132288262	7152	0.0411
TCGA-AF-2687-10A-01D-1732-01	13	17924949	19256892	675	0.0169
TCGA-AF-2687-10A-01D-1732-01	13	19257501	19348157	37	0.4312
TCGA-AF-2687-10A-01D-1732-01	13	19349410	22527210	2185	0.0246
TCGA-AF-2687-10A-01D-1732-01	13	22530678	22531515	12	-2.2778
TCGA-AF-2687-10A-01D-1732-01	13	22536195	24069643	1267	0.0184
TCGA-AF-2687-10A-01D-1732-01	13	24071506	24094693	19	0.5139
TCGA-AF-2687-10A-01D-1732-01	13	24094892	31430121	5446	0.0105
TCGA-AF-2687-10A-01D-1732-01	13	31430622	31436423	18	-0.9929
TCGA-AF-2687-10A-01D-1732-01	13	31438047	36968370	3901	0.0067
TCGA-AF-2687-10A-01D-1732-01	13	36969135	36986374	19	0.8939
TCGA-AF-2687-10A-01D-1732-01	13	36986387	71374989	21562	-0.0081
TCGA-AF-2687-10A-01D-1732-01	13	71375556	71378557	4	-2.3956
TCGA-AF-2687-10A-01D-1732-01	13	71378606	112582083	28488	1.00E-04
TCGA-AF-2687-10A-01D-1732-01	13	112582209	112773060	112	0.3736
TCGA-AF-2687-10A-01D-1732-01	13	112775542	113135602	167	0.0237
TCGA-AF-2687-10A-01D-1732-01	13	113136163	113154206	6	0.7654
TCGA-AF-2687-10A-01D-1732-01	13	113154554	113531073	178	0.0688
TCGA-AF-2687-10A-01D-1732-01	13	113533922	113842987	60	0.4102
TCGA-AF-2687-10A-01D-1732-01	13	113843249	114022611	86	-0.0315
TCGA-AF-2687-10A-01D-1732-01	13	114025158	114028432	3	-1.3629
TCGA-AF-2687-10A-01D-1732-01	13	114029403	114126499	43	0.106
TCGA-AF-2687-10A-01D-1732-01	14	18072124	105353556	55047	0.0022
TCGA-AF-2687-10A-01D-1732-01	14	105353583	105414024	33	0.6026
TCGA-AF-2687-10A-01D-1732-01	14	105448959	105531947	32	0.0727
TCGA-AF-2687-10A-01D-1732-01	14	105550720	105550986	2	-2.8185
TCGA-AF-2687-10A-01D-1732-01	14	105553173	106224218	365	0.0677
TCGA-AF-2687-10A-01D-1732-01	14	106231370	106242821	12	-0.733
TCGA-AF-2687-10A-01D-1732-01	14	106245617	106356482	78	0.0845
TCGA-AF-2687-10A-01D-1732-01	15	18276341	18432609	34	-0.0929
TCGA-AF-2687-10A-01D-1732-01	15	18435878	18838435	64	0.5578
TCGA-AF-2687-10A-01D-1732-01	15	18841465	18841578	7	-0.7276
TCGA-AF-2687-10A-01D-1732-01	15	18846002	19438512	175	0.3564
TCGA-AF-2687-10A-01D-1732-01	15	19438545	19452665	3	-0.8498
TCGA-AF-2687-10A-01D-1732-01	15	19456767	19503764	14	0.3128
TCGA-AF-2687-10A-01D-1732-01	15	19523446	19813175	19	1.0261
TCGA-AF-2687-10A-01D-1732-01	15	19818876	22225844	1110	0.096
TCGA-AF-2687-10A-01D-1732-01	15	22225980	22269266	38	-0.5679
TCGA-AF-2687-10A-01D-1732-01	15	22269689	74678682	32888	0.0064
TCGA-AF-2687-10A-01D-1732-01	15	74678796	74682829	18	0.8518
TCGA-AF-2687-10A-01D-1732-01	15	74682830	100286563	17684	0.0155
TCGA-AF-2687-10A-01D-1732-01	16	777	812942	326	0.371
TCGA-AF-2687-10A-01D-1732-01	16	826377	19853400	13203	0.0366
TCGA-AF-2687-10A-01D-1732-01	16	19853634	19872850	23	-0.4747
TCGA-AF-2687-10A-01D-1732-01	16	19873333	32066353	6540	0.0348
TCGA-AF-2687-10A-01D-1732-01	16	32066363	33528850	234	0.6006
TCGA-AF-2687-10A-01D-1732-01	16	33531810	34317210	217	0.1155
TCGA-AF-2687-10A-01D-1732-01	16	34324072	34593726	158	0.4591
TCGA-AF-2687-10A-01D-1732-01	16	34596177	54354095	6613	-4.00E-04
TCGA-AF-2687-10A-01D-1732-01	16	54355723	54356280	3	2.4439
TCGA-AF-2687-10A-01D-1732-01	16	54361849	76929109	14516	0.0021
TCGA-AF-2687-10A-01D-1732-01	16	76929941	76938764	14	0.9571
TCGA-AF-2687-10A-01D-1732-01	16	76940641	79739118	3220	0.0013
TCGA-AF-2687-10A-01D-1732-01	16	79739142	79832720	106	0.3252
TCGA-AF-2687-10A-01D-1732-01	16	79832902	86992931	6590	0.0394
TCGA-AF-2687-10A-01D-1732-01	16	86998215	88815036	719	0.3181
TCGA-AF-2687-10A-01D-1732-01	17	526	3425139	1845	0.0941
TCGA-AF-2687-10A-01D-1732-01	17	3427196	3475275	29	0.4517
TCGA-AF-2687-10A-01D-1732-01	17	3475731	3996887	301	0.0072
TCGA-AF-2687-10A-01D-1732-01	17	3997191	4031488	34	0.4363
TCGA-AF-2687-10A-01D-1732-01	17	4031838	5523058	751	0.0303
TCGA-AF-2687-10A-01D-1732-01	17	5523707	5578626	45	0.4039
TCGA-AF-2687-10A-01D-1732-01	17	5578847	6048834	383	-0.0113
TCGA-AF-2687-10A-01D-1732-01	17	6053097	6073051	21	0.4435
TCGA-AF-2687-10A-01D-1732-01	17	6073171	9891544	2364	0.0154
TCGA-AF-2687-10A-01D-1732-01	17	9892826	9982314	69	0.3181
TCGA-AF-2687-10A-01D-1732-01	17	9984541	16595026	4659	0.0128
TCGA-AF-2687-10A-01D-1732-01	17	16598056	16704280	18	0.7366
TCGA-AF-2687-10A-01D-1732-01	17	16710526	18296117	915	0.0062
TCGA-AF-2687-10A-01D-1732-01	17	18299671	18405311	27	-1.3646
TCGA-AF-2687-10A-01D-1732-01	17	18405946	18815445	145	0.0412
TCGA-AF-2687-10A-01D-1732-01	17	18817191	18991651	38	0.4285
TCGA-AF-2687-10A-01D-1732-01	17	19034043	20336479	648	0.0382
TCGA-AF-2687-10A-01D-1732-01	17	20350823	20354038	2	-2.0648
TCGA-AF-2687-10A-01D-1732-01	17	20371772	36495015	8564	0.0189
TCGA-AF-2687-10A-01D-1732-01	17	36497798	36499482	2	-2.024
TCGA-AF-2687-10A-01D-1732-01	17	36499917	41126770	2352	0.0219
TCGA-AF-2687-10A-01D-1732-01	17	41127892	41472797	248	0.3146
TCGA-AF-2687-10A-01D-1732-01	17	41472930	56472374	8944	-8.00E-04
TCGA-AF-2687-10A-01D-1732-01	17	56474593	56483522	4	-1.3433
TCGA-AF-2687-10A-01D-1732-01	17	56484608	72850098	9979	0.018
TCGA-AF-2687-10A-01D-1732-01	17	72852775	72879079	29	0.4332
TCGA-AF-2687-10A-01D-1732-01	17	72879241	72998797	69	0.0276
TCGA-AF-2687-10A-01D-1732-01	17	73000528	73075229	49	0.381
TCGA-AF-2687-10A-01D-1732-01	17	73075902	73787468	409	0.0212
TCGA-AF-2687-10A-01D-1732-01	17	73788078	73799603	6	0.9336
TCGA-AF-2687-10A-01D-1732-01	17	73800982	77673064	1855	0.0619
TCGA-AF-2687-10A-01D-1732-01	17	77676845	77802538	54	0.3771
TCGA-AF-2687-10A-01D-1732-01	17	77808053	78643088	424	0.0622
TCGA-AF-2687-10A-01D-1732-01	18	1543	6522077	4637	0.0146
TCGA-AF-2687-10A-01D-1732-01	18	6523750	6529301	2	-2.9129
TCGA-AF-2687-10A-01D-1732-01	18	6530097	38305676	19427	0.0066
TCGA-AF-2687-10A-01D-1732-01	18	38310567	38311453	23	-0.4249
TCGA-AF-2687-10A-01D-1732-01	18	38311469	45344882	4644	0.0123
TCGA-AF-2687-10A-01D-1732-01	18	45351487	45369671	19	0.6822
TCGA-AF-2687-10A-01D-1732-01	18	45370369	76116029	22055	3.00E-04
TCGA-AF-2687-10A-01D-1732-01	19	41910	1179292	267	0.1189
TCGA-AF-2687-10A-01D-1732-01	19	1179301	1222274	5	1.2205
TCGA-AF-2687-10A-01D-1732-01	19	1222529	1234188	5	-0.0226
TCGA-AF-2687-10A-01D-1732-01	19	1253965	1280639	8	0.708
TCGA-AF-2687-10A-01D-1732-01	19	1285747	1679501	101	0.0248
TCGA-AF-2687-10A-01D-1732-01	19	1682831	1768866	18	0.6863
TCGA-AF-2687-10A-01D-1732-01	19	1780946	11793651	4263	0.0326
TCGA-AF-2687-10A-01D-1732-01	19	11795823	11814561	14	0.6254
TCGA-AF-2687-10A-01D-1732-01	19	11814846	20408961	4311	0.0316
TCGA-AF-2687-10A-01D-1732-01	19	20409095	20508229	58	-0.7477
TCGA-AF-2687-10A-01D-1732-01	19	20512721	48024174	11536	0.0103
TCGA-AF-2687-10A-01D-1732-01	19	48024787	48118088	37	0.5071
TCGA-AF-2687-10A-01D-1732-01	19	48120373	48159695	22	0.0789
TCGA-AF-2687-10A-01D-1732-01	19	48160834	48360870	101	0.585
TCGA-AF-2687-10A-01D-1732-01	19	48362297	48394873	13	0.0776
