Composite.Element.REF	TCGA-AF-2689-01A-21-1932-20	TCGA-AF-2690-01A-11-1932-20	TCGA-AF-3400-01A-21-1932-20	TCGA-AF-3913-01A-11-1933-20	TCGA-AF-3914-01A-21-1933-20	TCGA-AF-5654-01A-41-1936-20
PECAM1|CD31-M-V	-4.022128175	-3.5045196	-3.29055467	-3.880074832	-3.10702114	-3.642713828
CD49|CD49b-M-V	-0.435573771	-1.520331668	-0.364937479	-0.039740287	-0.799646366	-0.558332097
CDK1|CDK1-R-V	-0.957803718	-0.871439601	-1.245305149	-0.197689296	-1.005061309	-0.919881667
PTGS2|COX-2-R-C	-1.271039827	-1.411833718	-0.084823312	-0.409593179	-0.486127239	-0.236378759
CASP3|Caspase-3_active-R-C	-1.651300086	-2.389230044	-1.58649657	-1.642246442	-1.247655264	-1.508851794
CASP7|Caspase-7_cleavedD198-R-C	-3.299126652	-2.631391488	-1.056295403	-3.146059486	-2.469996338	-2.19790177
CASP8|Caspase-8-M-C	-0.386360856	-0.969666274	-0.121000712	-0.443023443	-0.360996624	-0.466953447
CASP9|Caspase-9_cleavedD330-R-C	-0.802804635	-0.051883459	-0.334651159	-0.437456244	-0.630257006	-1.051264255
CAV1|Caveolin-1-R-V	2.544010133	4.058113623	2.352286363	2.442929847	3.597613262	0.914069187
CHEK1|Chk1-R-C	-0.147208177	0.012953232	0.421537632	0.314876327	0.320586505	-0.296777917
CHEK1|Chk1_pS345-R-C	-2.106878833	-1.808964697	-1.970400545	-2.284175761	-2.238234727	-2.080119027
CHEK2|Chk2-M-C	0.121715091	-1.069661764	-0.443699383	0.192300196	-1.367001384	0.247473107
CHEK2|Chk2_pT68-R-C	-1.428065668	-2.027149259	-1.128987755	-1.010442073	-1.02209842	-1.159770862
CLDN7|Claudin-7-R-V	2.269083926	-0.260416297	2.929938789	2.175998307	1.197331683	3.446470154
COL6A1|Collagen_VI-R-V	0.89415178	4.082875134	1.605178178	1.58653489	2.736103438	0.870886356
CCNB1|Cyclin_B1-R-V	1.607124239	-1.059552179	0.087781821	1.05979081	0.045146032	1.462736991
CCND1|Cyclin_D1-R-V	-1.585759057	-1.484393565	-1.299801742	-1.382894681	-1.059242338	-1.32924912
CCNE1|Cyclin_E1-M-V	-0.432370744	-1.805914733	-1.709625799	-1.421392042	-1.496155205	0.380375535
CCNE2|Cyclin_E2-R-C	-0.391163895	-0.870160601	-0.716352747	-0.635173744	-0.538059739	-0.722062858
PARK7|DJ-1-R-C	1.219531838	1.780586479	1.284678815	1.349911579	1.653665345	1.011427526
DVL3|Dvl3-R-V	-0.604646974	-0.793770684	-0.634395368	-0.941708239	-0.620547028	-0.956156149
CDH1|E-Cadherin-R-V	2.129815448	-0.392237795	0.144642624	1.478289467	2.072203769	1.899663468
EGFR|EGFR-R-C	-2.324369136	-1.295522804	-2.399340469	-2.706041813	-2.273218421	-2.474121768
EGFR|EGFR_pY1068-R-V	-2.95565539	-2.991939091	-3.01146846	-2.850284983	-3.13130995	-2.09943919
EGFR|EGFR_pY1173-R-C	-1.944249056	-1.57168598	-1.284587934	-1.888877356	-1.56386756	-1.66903802
EGFR|EGFR_pY992-R-V	-3.795775011	-4.811626379	-4.158513855	-3.434877421	-3.680468327	-3.461013744
ESR1|ER-alpha-R-V	-5.261143291	-4.793361095	-4.674966744	-5.050150632	-4.867953915	-4.811618226
ESR1|ER-alpha_pS118-R-V	-1.989384677	-1.822418602	-1.802725616	-1.862669917	-1.058601009	-1.810072216
ERCC1|ERCC1-M-C	-0.971580684	-0.623508986	-0.551456391	-0.881772459	-0.650188292	-1.016511938
MAPK1|ERK2-R-NA	1.475579633	1.800933799	1.298907361	1.223247084	0.795431758	0.867836363
PTK2|FAK-R-C	1.493207535	3.261436739	2.207790329	1.892788183	2.445539719	1.538959498
FOXO3|FOXO3a-R-C	-3.942965604	-4.221913983	-4.008042421	-4.368368444	-4.066848169	-4.229941874
FOXO3|FOXO3a_pS318_S321-R-C	-1.234813058	-0.064868536	-0.658189265	-1.044167377	-1.137005416	-1.317964427
FN1|Fibronectin-R-C	-1.120556375	0.050875053	0.290195723	0.07701346	2.135364898	-1.191173058
GAB2|GAB2-R-V	0.001015904	-0.28463657	-0.277085036	-0.010445643	-0.203835545	-0.999018109
GATA3|GATA3-M-V	-1.345959993	-1.694659026	-1.555797491	-1.334835311	-1.242479913	-1.230407117
GSK3A GSK3B|GSK3-alpha-beta-M-V	0.961175489	0.547923298	0.795917898	1.075166925	0.101393958	0.756716353
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9-R-V	-0.284890069	0.026822964	-0.139735843	0.529203879	-1.650015598	-0.346983172
GSK3A GSK3B|GSK3_pS9-R-V	-1.270950444	-0.358783532	-0.744768148	-0.174023017	-2.213849724	-1.099398123
ERBB2|HER2-M-V	2.375208656	2.54446215	1.631850061	1.138538383	1.476890672	0.859915415
ERBB2|HER2_pY1248-R-V	0.003649959	-0.112812289	0.069664362	-0.053472962	-0.09291988	0.059963464
ERBB3|HER3-R-V	0.049692081	0.688216476	-0.291388763	-0.855786622	0.094873116	0.630838822
ERBB3|HER3_pY1298-R-C	-2.187679936	-1.959817218	-1.805711714	-2.184555272	-1.955388376	-1.830723278
HSPA1A|HSP70-R-C	-0.335746393	1.81316849	1.83485071	0.485110392	1.356455045	-0.66525249
IGF1R|IGF-1R-beta-R-C	-0.124582168	-0.540174912	-0.713881357	-0.735833718	-0.65128178	-1.027086411
IGFBP2|IGFBP2-R-V	0.566589892	-1.441838846	-1.017983817	-0.721230298	-1.471842326	-0.78322617
INPP4B|INPP4B-G-C	-1.2972904	-2.108044753	-2.589767894	-1.973925899	-2.18275935	-1.230727918
IRS1|IRS1-R-V	-1.10100064	-0.993849582	-1.288640246	-1.372776342	-1.448122873	-1.240208575
MAPK9|JNK2-R-C	-1.012355306	-0.918259705	-1.10217802	-0.885826735	-1.631832011	-1.411442038
MAPK8|JNK_pT183_Y185-R-V	-2.359655559	-0.804095618	-1.896722691	-2.105520183	-2.113797157	-2.229501523
KRAS|K-Ras-M-C	-4.650237089	-4.457643893	-3.987340252	-3.517430397	-3.262140254	-3.111789611
XRCC5|Ku80-R-C	1.46123527	0.583591402	0.321941408	0.933063379	0.163945235	1.176809023
STK11|LKB1-M-NA	0.401764616	0.684124132	0.552241665	0.240244209	0.247158819	0.416441908
LCK|Lck-R-V	-0.578912105	0.0701499	-0.261163842	-0.379814309	-0.595028293	-0.783299241
MAPK1 MAPK3|MAPK_pT202_Y204-R-V	-3.962509419	-1.300011064	-1.996235804	-2.356517266	-3.744105467	-3.749499238
MAP2K1|MEK1-R-V	-0.990400006	-0.457024456	-0.348994566	-0.912525986	-0.978828083	-0.737056417
MAP2K1|MEK1_pS217_S221-R-V	-2.043919536	-1.144609093	-1.215973052	-1.241156898	-1.904659379	-1.59039852
ERRFI1|MIG-6-M-V	-0.947299251	-0.907935246	-0.987827345	-0.940050137	-0.702660867	-0.743687973
MSH2|MSH2-M-C	-3.5942878	-3.911458792	-3.647319348	-3.236788138	-3.412566046	-2.609824544
MSH6|MSH6-R-C	2.020877922	0.481351826	1.029399155	1.300335863	0.410542737	1.573710377
MRE11A|Mre11-R-C	-1.247791295	-1.035736225	-0.475706229	-0.920884436	-0.802468962	-0.921851924
CDH2|N-Cadherin-R-V	-3.020713799	-2.549246954	-2.72659089	-2.698314406	-2.804743885	-3.116407784
NFKB1|NF-kB-p65_pS536-R-C	-0.754598716	-1.201685068	-0.599935069	-1.858809242	-2.685002052	-1.245091148
NF2|NF2-R-C	0.464757566	0.619557685	0.782286383	0.650779861	0.519860224	0.119850068
NOTCH1|Notch1-R-V	-0.010200727	-0.445730426	-0.355478443	-0.966357075	-0.723768655	-0.481713043
NOTCH3|Notch3-R-C	-0.084938631	0.635162505	-0.124594972	0.696258154	0.828823031	-0.328809158
CDH3|P-Cadherin-R-C	-2.752623799	-1.835763744	-2.411527852	-2.500501994	-1.989610661	-2.231730262
PARP1|PARP_cleaved-M-C	-4.404421172	-4.086569085	-3.925950632	-4.025872142	-3.573904416	-3.512206678
PCNA|PCNA-M-V	-0.232197079	-0.432563535	-0.932318575	-0.134155127	-0.44174437	-0.506457434
PDK1|PDK1_pS241-R-V	0.702084243	0.320996015	0.490392337	0.463837968	-0.409493944	0.600121633
PEA15|PEA-15-R-V	-0.171394816	0.517915932	0.283776907	-0.078005826	1.060621677	-0.847884856
PIK3CA|PI3K-p110-alpha-R-C	-1.16275495	-1.03975625	-1.280175273	-0.924877177	-1.42074804	-0.983583006
PIK3R1|PI3K-p85-R-V	1.057903621	1.271060302	1.325388201	1.347892005	1.008240335	1.088661424
PRKCA|PKC-alpha-M-V	-0.73291478	-0.716009918	-1.37663902	-1.235734501	-2.440906491	-1.278260429
PRKCA|PKC-alpha_pS657-R-V	0.09030292	0.025759918	-0.341755471	-0.504422373	-1.625913062	-0.638720706
PRKCA|PKC-delta_pS664-R-V	-1.315997606	-1.447183885	-1.457550237	-1.291677427	-1.239415964	-1.428831083
PGR|PR-R-V	-4.491913122	-4.377895534	-4.276896842	-4.471162832	-3.904010506	-4.124607533
AKT1S1|PRAS40_pT246-R-V	-0.989157528	-0.537387181	-1.149826904	-0.991051301	-1.332837873	-1.26413953
PTCH1|PTCH-R-C	0.436586705	2.909666649	1.402735909	0.442929581	0.604629629	-0.391697958
PTEN|PTEN-R-V	1.309443501	1.200869001	1.482506725	1.528342813	0.946989174	1.227589603
PXN|Paxillin-R-V	-0.481131575	-0.064010227	-0.854892831	-1.029745453	0.735562514	-0.868603881
RAB11A RAB11B|Rab11-R-V	-1.878729795	-1.233209589	-1.332870052	-2.005913005	-1.541886803	-2.278435012
RAB25|Rab25-R-C	-0.727592857	-1.495836119	-0.336935108	-1.023170262	-0.611044673	-0.91355117
RAD50|Rad50-M-C	0.118198096	0.090549848	-0.101538398	0.461887888	-0.280257677	-0.109391541
RAD51|Rad51-M-C	-0.698881004	-0.441223671	-0.487371412	-0.39953834	-0.573863649	-0.866455922
RB1|Rb-M-V	-2.256451307	-3.36745971	-2.637995035	-2.360913225	-2.378685889	-2.252392289
RB1|Rb_pS807_S811-R-V	0.089648797	-1.137382692	-0.993341187	0.636794611	-1.927621762	-0.348023222
RPS6|S6-R-NA	1.255179291	-0.189052359	0.751734742	0.567305557	0.456886514	1.743876432
RPS6|S6_pS235_S236-R-V	-1.748910538	-1.163771562	-1.452633264	-1.282404634	-1.819661417	-0.752026685
RPS6|S6_pS240_S244-R-V	-2.525655914	-1.193981548	-1.944858085	-1.739731804	-2.536522197	-1.803878385
SETD2|SETD2-R-NA	-1.665966351	-1.667261456	-1.33827311	-1.72174382	-1.315855293	-1.648756106
STAT3|STAT3_pY705-R-V	-0.967613062	-0.207126153	-0.450492653	-0.582112856	-0.342475344	-0.270254294
STAT5A|STAT5-alpha-R-V	1.295536467	1.626870583	1.051620421	0.001801777	-0.750882363	0.429891238
SHC1|Shc_pY317-R-NA	-3.950383139	-3.653199143	-3.693618433	-3.773558843	-3.717694304	-3.639863913
DIABLO|Smac-M-V	0.659159514	-0.066391696	0.295022063	0.940708208	1.432170129	1.349103694
SMAD1|Smad1-R-V	0.469471484	-0.382368665	0.329008095	0.315568432	-0.35188913	0.351224073
SMAD3|Smad3-R-V	-0.772984279	-0.694567153	-0.815946535	-0.662755109	-0.58333318	-1.243292922
SMAD4|Smad4-M-V	-2.551218423	-2.37784693	-2.39887969	-2.615061605	-1.905517326	-2.272301525
SNAI2|Snail-M-C	-2.06169301	-2.357265779	-1.859078165	-2.220577195	-1.620759888	-1.58576498
SRC|Src-M-V	-0.043653924	-0.56789711	0.04489573	0.215375465	-0.342672537	0.155512829
SRC|Src_pY416-R-C	-0.991662486	-0.769665444	-0.271867816	-0.381514384	-0.947565642	-0.697334246
SRC|Src_pY527-R-V	-1.949228933	-1.5346196	-1.644980953	-1.043213868	-2.825902366	-0.862578311
STMN1|Stathmin-R-V	-1.893084066	-2.07867697	-1.813817646	-2.083485995	-1.427189304	-2.042571712
SYK|Syk-M-V	2.292012123	1.347042177	2.16514712	1.414174539	0.377246134	1.968976694
WWTR1|TAZ-R-C	-0.129447825	0.217965809	0.887345836	0.241617502	0.581723666	-0.263471434
WWTR1|TAZ_pS89-R-C	-1.743406538	-1.628753691	-1.734199938	-1.496463893	-1.402494832	-1.846323072
MAPT|Tau-M-C	-2.872848457	-3.202367109	-2.260706529	-2.5949138	-2.298914981	-2.709752099
TGM2|Transglutaminase-M-V	1.127014648	1.562467869	0.420999264	1.176584429	1.444744374	0.279368715
TSC2|Tuberin-R-C	0.959768306	0.285983288	0.599254924	0.057755106	-0.853010452	0.63422718
VASP|VASP-R-C	-1.579987619	-1.911036569	-1.900787163	-1.802527143	-1.543242852	-1.916534818
KDR|VEGFR2-R-C	2.451216474	4.332971982	2.664474747	2.272934094	2.230658394	1.685937848
XBP1|XBP1-G-C	-0.911254007	-1.227535144	-1.235851074	-1.034344031	-1.283241063	-0.697662768
XIAP|XIAP-R-C	-4.071965218	-4.235998926	-3.645848519	-3.884048247	-3.934880043	-3.362597338
XRCC1|XRCC1-R-C	-1.467450234	-1.484216452	-1.214107742	-1.70172214	-0.936821429	-1.625213901
YAP1|YAP-R-V	-1.464820571	-1.00146874	-1.096551195	-0.840464542	0.079219554	-1.032683516
YAP1|YAP_pS127-R-C	0.293873726	0.771411174	0.7211579	1.073764533	1.70750378	0.401556488
YBX1|YB-1-R-V	1.9116144	3.007255165	1.003748045	1.935963538	1.917150322	0.645465385
YBX1|YB-1_pS102-R-V	-2.48969512	-2.928247554	-2.686650888	-2.79668883	-2.390461584	-2.166443206
CTNNA1|alpha-Catenin-M-V	0.367796446	-1.02660131	-0.213586439	0.562506565	0.927043876	0.559107991
CTNNB1|beta-Catenin-R-V	4.139152631	1.430153578	1.614941126	3.326099187	0.561180391	2.658618789
JUN|c-Jun_pS73-R-C	-2.778027288	-3.23701126	-2.826080036	-2.586313472	-2.74635003	-2.542626599
KIT|c-Kit-R-V	-1.038683623	-0.530328919	-2.00939274	-0.859545019	-1.452082551	-2.749074935
MET|c-Met-M-C	-2.186352235	-1.678169481	-1.645396944	-1.818692911	-1.729618175	-1.79871254
MET|c-Met_pY1235-R-C	-1.409378394	-1.763436991	-0.992683131	-1.206233906	-1.074769649	-1.121507176
MYC|c-Myc-R-C	-0.295830574	-0.435443831	-0.587847938	-0.670248773	-0.617746736	-0.198841225
BIRC2|cIAP-R-V	0.610685086	0.458290578	0.721949015	0.511822912	0.035309208	0.740523902
EEF2|eEF2-R-V	0.137059449	-0.264048144	-0.093273396	-0.021292326	-0.726103673	-0.46237
EEF2K|eEF2K-R-V	-0.644288092	-0.838607939	-1.832622624	-2.198440724	-1.118851974	-1.052918711
EIF4E|eIF4E-R-V	0.049375886	-0.313375772	-0.378088997	-0.046079188	-0.548588856	0.506034699
FRAP1|mTOR-R-V	1.118503281	0.479822065	1.24745517	0.939059941	-0.226094194	1.482685418
FRAP1|mTOR_pS2448-R-C	-1.988131449	-1.419565733	-1.869105621	-1.945633847	-2.645878983	-2.020930391
CDKN1A|p21-R-C	-0.085272312	0.166451833	0.411112358	-0.236285822	0.681072872	0.206179828
CDKN1B|p27-R-V	-2.152984601	-1.430279998	-2.31036052	-1.974938898	-1.383025262	-2.267751907
CDKN1B|p27_pT157-R-C	0.524504695	0.121258771	0.669533602	0.187312727	0.713307405	0.188454774
CDKN1B|p27_pT198-R-V	-1.391758246	-1.404460947	-1.833984603	-1.621957532	-0.527492852	-1.370391346
MAPK14|p38_MAPK-R-C	0.638770626	0.600683401	0.676733326	0.351776991	-0.010426565	0.343200575
MAPK14|p38_pT180_Y182-R-V	-0.365171633	0.387829331	-0.185546609	0.392579559	-1.475920038	-0.444747746
TP53|p53-R-V	-3.121995786	-2.073056923	-2.202565628	-1.423563897	-1.753725738	-2.56108984
RPS6KB1|p70S6K-R-V	1.426918047	0.711959903	1.0982522	0.80749836	-0.026979363	1.146585407
RPS6KB1|p70S6K_pT389-R-V	-3.193249914	-2.100410613	-2.50845819	-2.856254767	-2.979666682	-3.151034536
RPS6KA1|p90RSK_pT359_S363-R-C	-2.578084238	-3.025873316	-2.621757072	-2.835872451	-2.734783842	-2.21580636
