GeneSymbol	Chromosome	Strand	txStarts	txEnds	MappingID	TotalMappingNumber	AbnormalMerge	OverlapWith
SCNN1D	CHR1	+	1215815	1227409	1	1	N	
ACAP3	CHR1	-	1227763	1243269	1	1	N	
PUSL1	CHR1	+	1243993	1247057	1	1	N	
CPSF3L	CHR1	-	1246964	1260067	1	1	N	
GLTPD1	CHR1	+	1260142	1264276	1	1	N	
TAS1R3	CHR1	+	1266725	1269844	1	1	N	
DVL1	CHR1	-	1270657	1284492	1	1	N	
MXRA8	CHR1	-	1288070	1293915	1	1	N	
AURKAIP1	CHR1	-	1309109	1310818	1	1	N	
CCNL2	CHR1	-	1321090	1334718	1	1	N	
LOC148413	CHR1	+	1334909	1337426	1	1	N	
MRPL20	CHR1	-	1337275	1342693	1	1	N	
ANKRD65	CHR1	-	1353799	1356824	1	1	N	
TMEM88B	CHR1	+	1361507	1363167	1	1	N	
VWA1	CHR1	+	1370902	1378262	1	1	N	
ATAD3C	CHR1	+	1385068	1405538	1	1	N	
ATAD3B	CHR1	+	1407163	1431582	1	1	N	
ATAD3A	CHR1	+	1447522	1470067	1	1	N	
TMEM240	CHR1	-	1470157	1475740	1	1	N	
SSU72	CHR1	-	1477052	1510262	1	1	N	
C1orf233	CHR1	-	1533387	1535476	1	1	N	
MIB2	CHR1	+	1550794	1565990	1	1	N	
MMP23B	CHR1	+	1567559	1570030	1	1	N	MMP23A CHR1 + 1568158 1633247;
MMP23A	CHR1	+	1568158	1633247	1	1	Y	MMP23B CHR1 + 1567559 1570030;
CDK11B	CHR1	-	1571099	1655775	1	1	N	CDK11A CHR1 - 1634169 1655791;SLC35E2B CHR1 - 1592938 1624243;
SLC35E2B	CHR1	-	1592938	1624243	1	1	N	CDK11B CHR1 - 1571099 1655775;
CDK11A	CHR1	-	1634169	1655791	1	1	N	CDK11B CHR1 - 1571099 1655775;
SLC35E2	CHR1	-	1656276	1677438	1	1	N	
NADK	CHR1	-	1682670	1711508	1	1	N	
GNB1	CHR1	-	1716724	1822526	1	1	N	
CALML6	CHR1	+	1846265	1848733	1	1	N	
TMEM52	CHR1	-	1849028	1850740	1	1	N	
KIAA1751	CHR1	-	1884751	1935276	1	1	N	
GABRD	CHR1	+	1950767	1962192	1	1	N	
PRKCZ	CHR1	+	1981908	2116834	1	1	N	
C1orf86	CHR1	-	2115898	2144159	1	1	N	
SKI	CHR1	+	2160133	2241652	1	1	N	
MORN1	CHR1	-	2252695	2322993	1	1	N	LOC100129534 CHR1 - 2281852 2284100;
LOC100129534	CHR1	-	2281852	2284100	1	1	N	MORN1 CHR1 - 2252695 2322993;
RER1	CHR1	+	2323213	2336885	1	1	N	
PEX10	CHR1	-	2336240	2344010	1	1	N	
PLCH2	CHR1	+	2407753	2436964	1	1	N	
PANK4	CHR1	-	2439974	2458035	1	1	N	
HES5	CHR1	-	2460183	2461684	1	1	N	
LOC115110	CHR1	-	2481358	2484284	1	1	N	
LOC100133445	CHR1	-	2487207	2488450	1	1	N	
TNFRSF14	CHR1	+	2487804	2495267	1	1	N	
FAM213B	CHR1	+	2517898	2522908	1	1	N	
MMEL1	CHR1	-	2522080	2564481	1	1	N	
TTC34	CHR1	-	2572806	2706230	1	1	N	
ACTRT2	CHR1	+	2938045	2939467	1	1	N	
FLJ42875	CHR1	-	2976180	2984289	1	1	N	
PRDM16	CHR1	+	2985741	3355185	1	1	N	MIR4251 CHR1 + 3044538 3044599;
MIR4251	CHR1	+	3044538	3044599	1	1	N	PRDM16 CHR1 + 2985741 3355185;
ARHGEF16	CHR1	+	3371146	3397677	1	1	N	
MEGF6	CHR1	-	3404505	3528059	1	1	N	MIR551A CHR1 - 3477259 3477354;
MIR551A	CHR1	-	3477259	3477354	1	1	N	MEGF6 CHR1 - 3404505 3528059;
TPRG1L	CHR1	+	3541555	3546694	1	1	N	
WRAP73	CHR1	-	3547330	3566671	1	1	N	
TP73	CHR1	+	3569128	3652765	1	1	N	
TP73-AS1	CHR1	-	3652547	3663937	1	1	N	
CCDC27	CHR1	+	3668964	3688209	1	1	N	
SMIM1	CHR1	+	3689351	3692546	1	1	N	
LRRC47	CHR1	-	3696783	3713068	1	1	N	
CEP104	CHR1	-	3728644	3773797	1	1	N	
DFFB	CHR1	+	3773844	3801993	1	1	N	
C1orf174	CHR1	-	3805696	3816857	1	1	N	
LOC100133612	CHR1	+	3816967	3832011	1	1	N	
LOC728716	CHR1	+	4000671	4012643	1	1	N	
LOC284661	CHR1	+	4472110	4484744	1	1	N	
AJAP1	CHR1	+	4715104	4843851	1	1	N	
MIR4417	CHR1	+	5624130	5624203	1	1	N	
MIR4689	CHR1	-	5922731	5922801	1	1	N	
NPHP4	CHR1	-	5922869	6052533	1	1	N	
KCNAB2	CHR1	+	6052357	6161253	1	1	N	
CHD5	CHR1	-	6161846	6240194	1	1	N	
RPL22	CHR1	-	6245079	6259679	1	1	N	
RNF207	CHR1	+	6266188	6281359	1	1	N	
ICMT	CHR1	-	6281252	6296044	1	1	N	
HES3	CHR1	+	6304251	6305638	1	1	N	
GPR153	CHR1	-	6307405	6321035	1	1	N	
ACOT7	CHR1	-	6324331	6453826	1	1	N	
HES2	CHR1	-	6475293	6479979	1	1	N	
ESPN	CHR1	+	6484847	6521004	1	1	N	
MIR4252	CHR1	-	6489893	6489956	1	1	N	
TNFRSF25	CHR1	-	6521213	6526255	1	1	N	PLEKHG5 CHR1 - 6526151 6580121;
PLEKHG5	CHR1	-	6526151	6580121	1	1	N	TNFRSF25 CHR1 - 6521213 6526255;
NOL9	CHR1	-	6581406	6614658	1	1	N	
TAS1R1	CHR1	+	6615337	6639817	1	1	N	
ZBTB48	CHR1	+	6640062	6649340	1	1	N	
KLHL21	CHR1	-	6650783	6662929	1	1	N	
PHF13	CHR1	+	6673755	6684093	1	1	N	
THAP3	CHR1	+	6684924	6695646	1	1	N	
DNAJC11	CHR1	-	6694227	6761966	1	1	N	
CAMTA1	CHR1	+	6845383	7829766	1	1	N	
VAMP3	CHR1	+	7831328	7841492	1	1	N	
PER3	CHR1	+	7844762	7905237	1	1	N	
UTS2	CHR1	-	7907671	7913551	1	1	N	
TNFRSF9	CHR1	-	7975930	8003225	1	1	N	
PARK7	CHR1	+	8021713	8045342	1	1	N	
ERRFI1	CHR1	-	8071778	8086393	1	1	N	
SLC45A1	CHR1	+	8384389	8404227	1	1	N	
RERE	CHR1	-	8412463	8877699	1	1	N	
ENO1	CHR1	-	8921058	8939151	1	1	N	
ENO1-AS1	CHR1	+	8938893	8939943	1	1	N	
CA6	CHR1	+	9005892	9035148	1	1	N	
SLC2A7	CHR1	-	9063358	9086404	1	1	N	
SLC2A5	CHR1	-	9097004	9129887	1	1	N	
GPR157	CHR1	-	9164475	9189229	1	1	N	
MIR34A	CHR1	-	9211726	9211836	1	1	N	
H6PD	CHR1	+	9294862	9331394	1	1	N	
SPSB1	CHR1	+	9352940	9429590	1	1	N	
SLC25A33	CHR1	+	9599527	9642831	1	1	N	
TMEM201	CHR1	+	9648931	9674935	1	1	N	
PIK3CD	CHR1	+	9711789	9789172	1	1	N	
C1orf200	CHR1	-	9712667	9714644	1	1	N	
CLSTN1	CHR1	-	9789078	9884550	1	1	N	
CTNNBIP1	CHR1	-	9908333	9970316	1	1	N	
LZIC	CHR1	-	9989775	10002826	1	1	N	
NMNAT1	CHR1	+	10003485	10045556	1	1	N	
RBP7	CHR1	+	10057254	10076078	1	1	N	
UBE4B	CHR1	+	10093040	10241296	1	1	N	
KIF1B	CHR1	+	10270763	10441661	1	1	N	
PGD	CHR1	+	10459084	10480201	1	1	N	
APITD1	CHR1	+	10490158	10502872	1	1	N	APITD1-CORT CHR1 + 10490158 10512060;
APITD1-CORT	CHR1	+	10490158	10512060	1	1	N	APITD1 CHR1 + 10490158 10502872;CORT CHR1 + 10509775 10512060;
CORT	CHR1	+	10509775	10512060	1	1	N	APITD1-CORT CHR1 + 10490158 10512060;
DFFA	CHR1	-	10520602	10532613	1	1	N	
PEX14	CHR1	+	10535002	10690815	1	1	N	
CASZ1	CHR1	-	10696665	10856733	1	1	N	
C1orf127	CHR1	-	11006529	11042094	1	1	N	
TARDBP	CHR1	+	11072678	11085549	1	1	N	
MASP2	CHR1	-	11086579	11107296	1	1	N	
SRM	CHR1	-	11114648	11120091	1	1	N	
EXOSC10	CHR1	-	11126675	11159938	1	1	N	
MTOR	CHR1	-	11166587	11322608	1	1	N	
MTOR-AS1	CHR1	+	11203954	11209595	1	1	N	
ANGPTL7	CHR1	+	11249397	11256038	1	1	N	
UBIAD1	CHR1	+	11333254	11348491	1	1	N	
PTCHD2	CHR1	+	11539294	11597640	1	1	N	
FBXO2	CHR1	-	11708417	11714888	1	1	N	
FBXO44	CHR1	+	11714431	11723384	1	1	N	
FBXO6	CHR1	+	11724149	11734409	1	1	N	
MAD2L2	CHR1	-	11734536	11751678	1	1	N	
DRAXIN	CHR1	+	11751780	11780336	1	1	N	
AGTRAP	CHR1	+	11796141	11810828	1	1	N	
MTHFR	CHR1	-	11845786	11866160	1	1	N	
CLCN6	CHR1	+	11866152	11903201	1	1	N	NPPA-AS1 CHR1 + 11900375 11907673;
NPPA-AS1	CHR1	+	11900375	11907673	1	1	N	CLCN6 CHR1 + 11866152 11903201;
NPPA	CHR1	-	11905766	11907840	1	1	N	
NPPB	CHR1	-	11917520	11918992	1	1	N	
KIAA2013	CHR1	-	11979644	11986485	1	1	N	
PLOD1	CHR1	+	11994723	12035599	1	1	N	
MFN2	CHR1	+	12040237	12073572	1	1	N	
MIIP	CHR1	+	12079298	12092106	1	1	N	
TNFRSF8	CHR1	+	12123433	12204264	1	1	N	
TNFRSF1B	CHR1	+	12227059	12269277	1	1	N	MIR4632 CHR1 + 12251761 12251839;
MIR4632	CHR1	+	12251761	12251839	1	1	N	TNFRSF1B CHR1 + 12227059 12269277;
VPS13D	CHR1	+	12290112	12572098	1	1	N	SNORA59A CHR1 + 12567299 12567451;
SNORA59A	CHR1	+	12567299	12567451	1	1	N	VPS13D CHR1 + 12290112 12572098;
DHRS3	CHR1	-	12627938	12677820	1	1	N	
AADACL4	CHR1	+	12704565	12727097	1	1	N	
AADACL3	CHR1	+	12776117	12788726	1	1	N	
C1orf158	CHR1	+	12806162	12821102	1	1	N	
PRAMEF12	CHR1	+	12834983	12838048	1	1	N	
PRAMEF1	CHR1	+	12851545	12856777	1	1	N	
PRAMEF11	CHR1	-	12884467	12891264	1	1	N	
LOC649330	CHR1	-	12907235	12908237	1	1	N	HNRNPCL1 CHR1 - 12907260 12908578;
HNRNPCL1	CHR1	-	12907260	12908578	1	1	N	LOC649330 CHR1 - 12907235 12908237;
PRAMEF2	CHR1	+	12916940	12921764	1	1	N	
PRAMEF4	CHR1	-	12939032	12946025	1	1	N	
PRAMEF10	CHR1	-	12952726	12958094	1	1	N	
PRAMEF7	CHR1	+	12977512	12980233	1	1	N	
PRAMEF6	CHR1	-	12998301	13007406	1	1	N	
PRAMEF22	CHR1	+	13035542	13038381	1	1	N	
LOC440563	CHR1	-	13182959	13184326	1	1	N	
PRAMEF3	CHR1	-	13328195	13331692	1	1	N	
PRAMEF5	CHR1	+	13359818	13369057	1	1	N	
PRAMEF8	CHR1	-	13386646	13611550	1	1	Y	PRAMEF13 CHR1 - 13447413 13452656;PRAMEF14 CHR1 - 13447413 13673511;PRAMEF18 CHR1 - 13474052 13698405;PRAMEF19 CHR1 - 13474052 13698405;
PRAMEF15	CHR1	+	13421175	13648987	1	1	Y	PRAMEF16 CHR1 + 13495253 13498259;PRAMEF20 CHR1 + 13516065 13747803;PRAMEF21 CHR1 + 13521962 13747803;PRAMEF9 CHR1 + 13421175 13648988;
PRAMEF9	CHR1	+	13421175	13648988	1	1	Y	PRAMEF15 CHR1 + 13421175 13648987;PRAMEF16 CHR1 + 13495253 13498259;PRAMEF20 CHR1 + 13516065 13747803;PRAMEF21 CHR1 + 13521962 13747803;
PRAMEF13	CHR1	-	13447413	13452656	1	1	N	PRAMEF14 CHR1 - 13447413 13673511;PRAMEF8 CHR1 - 13386646 13611550;
PRAMEF14	CHR1	-	13447413	13673511	1	1	Y	PRAMEF13 CHR1 - 13447413 13452656;PRAMEF18 CHR1 - 13474052 13698405;PRAMEF19 CHR1 - 13474052 13698405;PRAMEF8 CHR1 - 13386646 13611550;
PRAMEF18	CHR1	-	13474052	13698405	1	1	Y	PRAMEF14 CHR1 - 13447413 13673511;PRAMEF19 CHR1 - 13474052 13698405;PRAMEF8 CHR1 - 13386646 13611550;
PRAMEF19	CHR1	-	13474052	13698405	1	1	Y	PRAMEF14 CHR1 - 13447413 13673511;PRAMEF18 CHR1 - 13474052 13698405;PRAMEF8 CHR1 - 13386646 13611550;
PRAMEF16	CHR1	+	13495253	13498259	1	1	N	PRAMEF15 CHR1 + 13421175 13648987;PRAMEF9 CHR1 + 13421175 13648988;
PRAMEF20	CHR1	+	13516065	13747803	1	1	Y	PRAMEF15 CHR1 + 13421175 13648987;PRAMEF17 CHR1 + 13716087 13719064;PRAMEF21 CHR1 + 13521962 13747803;PRAMEF9 CHR1 + 13421175 13648988;
PRAMEF21	CHR1	+	13521962	13747803	1	1	Y	PRAMEF15 CHR1 + 13421175 13648987;PRAMEF17 CHR1 + 13716087 13719064;PRAMEF20 CHR1 + 13516065 13747803;PRAMEF9 CHR1 + 13421175 13648988;
PRAMEF17	CHR1	+	13716087	13719064	1	1	N	PRAMEF20 CHR1 + 13516065 13747803;PRAMEF21 CHR1 + 13521962 13747803;
LRRC38	CHR1	-	13801444	13840242	1	1	N	
PDPN	CHR1	+	13910251	13944452	1	1	N	
PRDM2	CHR1	+	14026734	14151574	1	1	N	
KAZN	CHR1	+	14925212	15444544	1	1	N	
C1orf126	CHR1	-	15438310	15478960	1	1	N	
TMEM51	CHR1	+	15479027	15546974	1	1	N	
FHAD1	CHR1	+	15573767	15724622	1	1	N	
EFHD2	CHR1	+	15736390	15756839	1	1	N	
CTRC	CHR1	+	15764937	15773153	1	1	N	
CELA2A	CHR1	+	15783222	15798586	1	1	N	
CELA2B	CHR1	+	15802595	15817895	1	1	N	
CASP9	CHR1	-	15818768	15851285	1	1	N	
DNAJC16	CHR1	+	15853351	15898228	1	1	N	
AGMAT	CHR1	-	15898193	15911605	1	1	N	
DDI2	CHR1	+	15943952	15987552	1	1	N	RSC1A1 CHR1 + 15986363 15988217;
RSC1A1	CHR1	+	15986363	15988217	1	1	N	DDI2 CHR1 + 15943952 15987552;
PLEKHM2	CHR1	+	16010826	16061264	1	1	N	
SLC25A34	CHR1	+	16062808	16067884	1	1	N	
TMEM82	CHR1	+	16068916	16074477	1	1	N	
FBLIM1	CHR1	+	16085254	16113084	1	1	N	
UQCRHL	CHR1	-	16133656	16134194	1	1	N	
FLJ37453	CHR1	-	16160709	16174642	1	1	N	
SPEN	CHR1	+	16174358	16266950	1	1	N	
ZBTB17	CHR1	-	16268363	16302627	1	1	N	
C1orf64	CHR1	+	16330730	16333184	1	1	N	
HSPB7	CHR1	-	16340522	16345285	1	1	N	
CLCNKA	CHR1	+	16348485	16360545	1	1	N	
CLCNKB	CHR1	+	16370230	16383821	1	1	N	
FAM131C	CHR1	-	16384263	16400127	1	1	N	
EPHA2	CHR1	-	16450831	16482582	1	1	N	
ARHGEF19	CHR1	-	16524598	16539104	1	1	N	
RSG1	CHR1	-	16558181	16563659	1	1	N	
FBXO42	CHR1	-	16576558	16678948	1	1	N	
SZRD1	CHR1	+	16693582	16724640	1	1	N	
SPATA21	CHR1	-	16725137	16763919	1	1	N	
NECAP2	CHR1	+	16767166	16786584	1	1	N	
CROCCP3	CHR1	-	16793930	16819196	1	1	N	
NBPF1	CHR1	-	16890411	16939982	1	1	N	
CROCCP2	CHR1	-	16944750	16957401	1	1	N	
MST1P2	CHR1	+	16972068	16976915	1	1	N	
ESPNP	CHR1	-	17017712	17046652	1	1	N	
MST1P9	CHR1	-	17081400	17090975	1	1	N	
MIR3675	CHR1	-	17185443	17185516	1	1	N	
CROCC	CHR1	+	17248444	17299474	1	1	N	
MFAP2	CHR1	-	17300998	17308081	1	1	N	
ATP13A2	CHR1	-	17312452	17338423	1	1	N	
SDHB	CHR1	-	17345224	17380665	1	1	N	
PADI2	CHR1	-	17393255	17445948	1	1	N	
PADI1	CHR1	+	17531620	17572501	1	1	N	
PADI3	CHR1	+	17575592	17610727	1	1	N	
PADI4	CHR1	+	17634689	17690495	1	1	N	
PADI6	CHR1	+	17698740	17728195	1	1	N	
RCC2	CHR1	-	17733250	17766250	1	1	N	
ARHGEF10L	CHR1	+	17866329	18024370	1	1	N	
ACTL8	CHR1	+	18081807	18153558	1	1	N	
IGSF21	CHR1	+	18434239	18704977	1	1	N	
KLHDC7A	CHR1	+	18807423	18812480	1	1	N	
PAX7	CHR1	+	18957499	19075360	1	1	N	
TAS1R2	CHR1	-	19166092	19186155	1	1	N	
ALDH4A1	CHR1	-	19197923	19229293	1	1	N	MIR4695 CHR1 - 19209695 19209769;
MIR4695	CHR1	-	19209695	19209769	1	1	N	ALDH4A1 CHR1 - 19197923 19229293;
IFFO2	CHR1	-	19230773	19282826	1	1	N	
UBR4	CHR1	-	19400999	19536746	1	1	N	
EMC1	CHR1	-	19542157	19578053	1	1	N	
MRTO4	CHR1	+	19578074	19586622	1	1	N	
AKR7L	CHR1	-	19592475	19600568	1	1	N	
AKR7A3	CHR1	-	19609056	19615280	1	1	N	
LOC100506730	CHR1	-	19619740	19622230	1	1	N	
AKR7A2	CHR1	-	19629201	19638640	1	1	N	
PQLC2	CHR1	+	19638739	19655794	1	1	N	
CAPZB	CHR1	-	19665266	19812066	1	1	N	
C1orf151-NBL1	CHR1	+	19923470	19984949	1	1	N	MINOS1 CHR1 + 19923470 19956315;NBL1 CHR1 + 19969722 19984949;
MINOS1	CHR1	+	19923470	19956315	1	1	N	C1orf151-NBL1 CHR1 + 19923470 19984949;
NBL1	CHR1	+	19969722	19984949	1	1	N	C1orf151-NBL1 CHR1 + 19923470 19984949;
HTR6	CHR1	+	19991779	20006055	1	1	N	
TMCO4	CHR1	-	20008705	20126410	1	1	N	
RNF186	CHR1	-	20140521	20141771	1	1	N	
OTUD3	CHR1	+	20208887	20239437	1	1	N	
PLA2G2E	CHR1	-	20246799	20250110	1	1	N	
PLA2G2A	CHR1	-	20301923	20306932	1	1	N	
PLA2G5	CHR1	+	20396700	20418394	1	1	N	
PLA2G2D	CHR1	-	20438433	20446008	1	1	N	
PLA2G2F	CHR1	+	20465822	20476879	1	1	N	
PLA2G2C	CHR1	-	20490483	20501687	1	1	N	
UBXN10	CHR1	+	20512577	20519942	1	1	N	
VWA5B1	CHR1	+	20617411	20681387	1	1	N	
LOC339505	CHR1	-	20686293	20755287	1	1	N	
CAMK2N1	CHR1	-	20808883	20812728	1	1	N	
MUL1	CHR1	-	20825940	20834674	1	1	N	
FAM43B	CHR1	+	20878931	20881513	1	1	N	
CDA	CHR1	+	20915443	20945400	1	1	N	
PINK1	CHR1	+	20959947	20978004	1	1	N	
DDOST	CHR1	-	20978259	20988037	1	1	N	
KIF17	CHR1	-	20990506	21044317	1	1	N	
SH2D5	CHR1	-	21046224	21059133	1	1	N	
HP1BP3	CHR1	-	21069170	21113181	1	1	N	
EIF4G3	CHR1	-	21132784	21503381	1	1	N	
ECE1	CHR1	-	21543739	21672034	1	1	N	
LOC100506801	CHR1	+	21619782	21626362	1	1	N	
NBPF3	CHR1	+	21766620	21811393	1	1	N	
ALPL	CHR1	+	21835857	21904905	1	1	N	
RAP1GAP	CHR1	-	21922707	21995856	1	1	N	
USP48	CHR1	-	22004791	22109688	1	1	N	
LDLRAD2	CHR1	+	22138757	22151714	1	1	N	
HSPG2	CHR1	-	22148736	22263750	1	1	N	
CELA3B	CHR1	+	22303417	22315847	1	1	N	
CELA3A	CHR1	+	22328148	22339035	1	1	N	
LINC00339	CHR1	+	22351706	22357715	1	1	N	
CDC42	CHR1	+	22379119	22419436	1	1	N	
WNT4	CHR1	-	22443797	22469519	1	1	N	
ZBTB40	CHR1	+	22778343	22857650	1	1	N	
EPHA8	CHR1	+	22890003	22930087	1	1	N	
C1QA	CHR1	+	22963117	22966175	1	1	N	
C1QC	CHR1	+	22970117	22974603	1	1	N	
C1QB	CHR1	+	22979681	22988029	1	1	N	
EPHB2	CHR1	+	23037330	23241823	1	1	N	MIR4684 CHR1 + 23046009 23046091;
MIR4684	CHR1	+	23046009	23046091	1	1	N	EPHB2 CHR1 + 23037330 23241823;
MIR4253	CHR1	-	23189651	23189719	1	1	N	
LOC729059	CHR1	-	23337326	23342343	1	1	N	
KDM1A	CHR1	+	23345940	23410184	1	1	N	MIR3115 CHR1 + 23370797 23370865;
MIR3115	CHR1	+	23370797	23370865	1	1	N	KDM1A CHR1 + 23345940 23410184;
LUZP1	CHR1	-	23410515	23495351	1	1	N	
HTR1D	CHR1	-	23518387	23521222	1	1	N	
HNRNPR	CHR1	-	23636275	23670853	1	1	N	
ZNF436	CHR1	-	23685940	23696357	1	1	N	
C1orf213	CHR1	+	23695463	23698330	1	1	N	
TCEA3	CHR1	-	23707554	23751261	1	1	N	
ASAP3	CHR1	-	23755055	23810750	1	1	N	
E2F2	CHR1	-	23832919	23857712	1	1	N	
ID3	CHR1	-	23884420	23886285	1	1	N	
MDS2	CHR1	+	23953823	23967056	1	1	N	
RPL11	CHR1	+	24018268	24022915	1	1	N	
TCEB3	CHR1	+	24069855	24088549	1	1	N	
LOC100506963	CHR1	-	24086871	24104787	1	1	N	
PITHD1	CHR1	+	24104875	24114722	1	1	N	
LYPLA2	CHR1	+	24117645	24122029	1	1	N	
GALE	CHR1	-	24122088	24127294	1	1	N	
HMGCL	CHR1	-	24128366	24151949	1	1	N	
FUCA1	CHR1	-	24171571	24194859	1	1	N	
CNR2	CHR1	-	24200459	24239817	1	1	N	
MIR378F	CHR1	+	24255559	24255637	1	1	N	
PNRC2	CHR1	+	24286300	24289949	1	1	N	
SRSF10	CHR1	-	24292936	24306953	1	2	N	
MYOM3	CHR1	-	24382530	24438665	1	1	N	
IL22RA1	CHR1	-	24446260	24469775	1	1	N	
IL28RA	CHR1	-	24480646	24513765	1	1	N	
LOC284632	CHR1	+	24526729	24538180	1	1	N	
GRHL3	CHR1	+	24645811	24690970	1	1	N	
STPG1	CHR1	-	24683488	24741587	1	1	N	
NIPAL3	CHR1	+	24742244	24799473	1	1	N	
RCAN3AS	CHR1	-	24822822	24828850	1	1	N	
RCAN3	CHR1	+	24828840	24863510	1	1	N	
NCMAP	CHR1	+	24882566	24935818	1	1	N	
SRRM1	CHR1	+	24969593	24999772	1	1	N	
CLIC4	CHR1	+	25071759	25170815	1	1	N	
RUNX3	CHR1	-	25226001	25291501	1	1	N	
SYF2	CHR1	-	25548766	25559013	1	1	N	
C1orf63	CHR1	-	25568739	25573985	1	1	N	
RHD	CHR1	+	25598980	25656936	1	1	N	
TMEM50A	CHR1	+	25664788	25688852	1	1	N	
RHCE	CHR1	-	25688739	25747363	1	1	N	
TMEM57	CHR1	+	25757387	25826698	1	1	N	
LDLRAP1	CHR1	+	25870075	25895377	1	1	N	
MAN1C1	CHR1	+	25943958	26111258	1	1	N	
SEPN1	CHR1	+	26126666	26144713	1	1	N	
FAM54B	CHR1	+	26146396	26159433	1	1	N	
LOC646471	CHR1	-	26146444	26150097	1	1	N	
AUNIP	CHR1	-	26160496	26185848	1	1	N	
PAQR7	CHR1	-	26187974	26197744	1	1	N	
STMN1	CHR1	-	26210676	26233368	1	1	N	MIR3917 CHR1 - 26232852 26232945;
MIR3917	CHR1	-	26232852	26232945	1	1	N	STMN1 CHR1 - 26210676 26233368;
PAFAH2	CHR1	-	26286257	26324648	1	1	N	
EXTL1	CHR1	+	26348270	26362954	1	1	N	
SLC30A2	CHR1	-	26364513	26372604	1	1	N	
TRIM63	CHR1	-	26377795	26394125	1	1	N	
PDIK1L	CHR1	+	26437655	26452039	1	1	N	
FAM110D	CHR1	+	26485510	26489119	1	1	N	
ZNF593	CHR1	+	26496387	26497364	1	1	N	
CNKSR1	CHR1	+	26503980	26516375	1	1	N	
CATSPER4	CHR1	+	26517118	26529033	1	1	N	
CEP85	CHR1	+	26560692	26605299	1	1	N	
SH3BGRL3	CHR1	+	26606212	26608013	1	1	N	
UBXN11	CHR1	-	26608772	26644756	1	1	N	
CD52	CHR1	+	26644410	26647014	1	1	N	
AIM1L	CHR1	-	26648349	26680621	1	1	N	
ZNF683	CHR1	-	26688124	26699266	1	1	N	
LIN28A	CHR1	+	26737268	26756219	1	1	N	
DHDDS	CHR1	+	26758772	26797795	1	1	N	
HMGN2	CHR1	+	26798901	26803133	1	1	N	
RPS6KA1	CHR1	+	26856248	26901520	1	1	N	MIR1976 CHR1 + 26881032 26881084;
MIR1976	CHR1	+	26881032	26881084	1	1	N	RPS6KA1 CHR1 + 26856248 26901520;
ARID1A	CHR1	+	27022521	27108601	1	1	N	
PIGV	CHR1	+	27114453	27124894	1	1	N	
ZDHHC18	CHR1	+	27153200	27182211	1	1	N	
SFN	CHR1	+	27189632	27190947	1	1	N	
GPN2	CHR1	-	27205872	27216869	1	1	N	
GPATCH3	CHR1	-	27216978	27226962	1	1	N	
NR0B2	CHR1	-	27237974	27240567	1	1	N	
NUDC	CHR1	+	27248212	27273362	1	1	N	
C1orf172	CHR1	-	27276046	27286901	1	1	N	
TRNP1	CHR1	+	27320194	27327377	1	1	N	
FAM46B	CHR1	-	27331510	27339333	1	1	N	
SLC9A1	CHR1	-	27425299	27481621	1	1	N	
WDTC1	CHR1	+	27561006	27635110	1	1	N	
TMEM222	CHR1	+	27648635	27662891	1	1	N	LOC644961 CHR1 + 27650364 27653016;
LOC644961	CHR1	+	27650364	27653016	1	1	N	TMEM222 CHR1 + 27648635 27662891;
