GeneSymbol	Chromosome	Strand	txStarts	txEnds	MappingID	TotalMappingNumber	AbnormalMerge	OverlapWith
MMEL1	CHR1	-	2511940	2554341	1	1	N	
TTC34	CHR1	-	2562666	2696090	1	1	N	
ACTRT2	CHR1	+	2927905	2929327	1	1	N	
FLJ42875	CHR1	-	2966040	2974149	1	1	N	
PRDM16	CHR1	+	2975601	3345045	1	1	N	MIR4251 CHR1 + 3034398 3034459;
MIR4251	CHR1	+	3034398	3034459	1	1	N	PRDM16 CHR1 + 2975601 3345045;
ARHGEF16	CHR1	+	3361006	3387537	1	1	N	
MEGF6	CHR1	-	3394365	3517919	1	1	N	MIR551A CHR1 - 3467119 3467214;
MIR551A	CHR1	-	3467119	3467214	1	1	N	MEGF6 CHR1 - 3394365 3517919;
TPRG1L	CHR1	+	3531415	3536554	1	1	N	
WRAP73	CHR1	-	3537190	3556531	1	1	N	
TP73	CHR1	+	3558988	3642625	1	1	N	
TP73-AS1	CHR1	-	3642407	3653797	1	1	N	
CCDC27	CHR1	+	3658824	3678069	1	1	N	
SMIM1	CHR1	+	3679211	3682406	1	1	N	
LRRC47	CHR1	-	3686643	3702928	1	1	N	
CEP104	CHR1	-	3718504	3763657	1	1	N	
DFFB	CHR1	+	3763704	3791853	1	1	N	
C1orf174	CHR1	-	3795556	3806717	1	1	N	
LOC100133612	CHR1	+	3806827	3821871	1	1	N	
LOC728716	CHR1	+	3900531	3912503	1	1	N	
LOC284661	CHR1	+	4371970	4384604	1	1	N	
AJAP1	CHR1	+	4614964	4743711	1	1	N	
MIR4417	CHR1	+	5546717	5546790	1	1	N	
MIR4689	CHR1	-	5845318	5845388	1	1	N	
NPHP4	CHR1	-	5845456	5975120	1	1	N	
KCNAB2	CHR1	+	5974944	6083840	1	1	N	
CHD5	CHR1	-	6084433	6162781	1	1	N	
RPL22	CHR1	-	6167666	6182266	1	1	N	
RNF207	CHR1	+	6188775	6203946	1	1	N	
ICMT	CHR1	-	6203839	6218631	1	1	N	
HES3	CHR1	+	6226838	6228225	1	1	N	
GPR153	CHR1	-	6229992	6243622	1	1	N	
ACOT7	CHR1	-	6246918	6376413	1	1	N	
HES2	CHR1	-	6397880	6402566	1	1	N	
ESPN	CHR1	+	6407434	6443591	1	1	N	
MIR4252	CHR1	-	6412480	6412543	1	1	N	
TNFRSF25	CHR1	-	6443800	6448842	1	1	N	PLEKHG5 CHR1 - 6448738 6502708;
PLEKHG5	CHR1	-	6448738	6502708	1	1	N	TNFRSF25 CHR1 - 6443800 6448842;
NOL9	CHR1	-	6503993	6537245	1	1	N	
TAS1R1	CHR1	+	6537924	6562404	1	1	N	
ZBTB48	CHR1	+	6562649	6571927	1	1	N	
KLHL21	CHR1	-	6573370	6585516	1	1	N	
PHF13	CHR1	+	6596342	6606680	1	1	N	
THAP3	CHR1	+	6607511	6618233	1	1	N	
DNAJC11	CHR1	-	6616814	6684553	1	1	N	
CAMTA1	CHR1	+	6767970	7752353	1	1	N	
VAMP3	CHR1	+	7753915	7764079	1	1	N	
PER3	CHR1	+	7767349	7827824	1	1	N	
UTS2	CHR1	-	7830258	7836138	1	1	N	
TNFRSF9	CHR1	-	7898517	7925812	1	1	N	
PARK7	CHR1	+	7944300	7967929	1	1	N	
ERRFI1	CHR1	-	7994365	8008980	1	1	N	
SLC45A1	CHR1	+	8306976	8326814	1	1	N	
RERE	CHR1	-	8335050	8800286	1	1	N	
ENO1	CHR1	-	8843645	8861738	1	1	N	
ENO1-AS1	CHR1	+	8861480	8862530	1	1	N	
CA6	CHR1	+	8928479	8957735	1	1	N	
SLC2A7	CHR1	-	8985945	9008991	1	1	N	
SLC2A5	CHR1	-	9019591	9052474	1	1	N	
GPR157	CHR1	-	9087062	9111816	1	1	N	
MIR34A	CHR1	-	9134313	9134423	1	1	N	
H6PD	CHR1	+	9217449	9253981	1	1	N	
SPSB1	CHR1	+	9275527	9352177	1	1	N	
SLC25A33	CHR1	+	9522114	9565418	1	1	N	
TMEM201	CHR1	+	9571518	9597522	1	1	N	
PIK3CD	CHR1	+	9634376	9711759	1	1	N	
C1orf200	CHR1	-	9635254	9637231	1	1	N	
CLSTN1	CHR1	-	9711665	9807137	1	1	N	
CTNNBIP1	CHR1	-	9830920	9892903	1	1	N	
LZIC	CHR1	-	9912362	9925413	1	1	N	
NMNAT1	CHR1	+	9926072	9968143	1	1	N	
RBP7	CHR1	+	9979841	9998665	1	1	N	
UBE4B	CHR1	+	10015627	10163883	1	1	N	
KIF1B	CHR1	+	10193350	10364248	1	1	N	
PGD	CHR1	+	10381671	10402788	1	1	N	
APITD1	CHR1	+	10412745	10425459	1	1	N	APITD1-CORT CHR1 + 10412745 10434647;
APITD1-CORT	CHR1	+	10412745	10434647	1	1	N	APITD1 CHR1 + 10412745 10425459;CORT CHR1 + 10432362 10434647;
CORT	CHR1	+	10432362	10434647	1	1	N	APITD1-CORT CHR1 + 10412745 10434647;
DFFA	CHR1	-	10443189	10455200	1	1	N	
PEX14	CHR1	+	10457589	10613405	1	1	N	
CASZ1	CHR1	-	10619252	10779320	1	1	N	
C1orf127	CHR1	-	10929116	10964681	1	1	N	
TARDBP	CHR1	+	10995265	11008136	1	1	N	
MASP2	CHR1	-	11009166	11029883	1	1	N	
SRM	CHR1	-	11037235	11042678	1	1	N	
EXOSC10	CHR1	-	11049262	11082525	1	1	N	
MTOR	CHR1	-	11089174	11245195	1	1	N	
MTOR-AS1	CHR1	+	11126541	11132182	1	1	N	
ANGPTL7	CHR1	+	11171984	11178625	1	1	N	
UBIAD1	CHR1	+	11255841	11271078	1	1	N	
PTCHD2	CHR1	+	11461881	11520227	1	1	N	
FBXO2	CHR1	-	11631004	11637475	1	1	N	
FBXO44	CHR1	+	11637018	11645971	1	1	N	
FBXO6	CHR1	+	11646736	11656996	1	1	N	
MAD2L2	CHR1	-	11657123	11674265	1	1	N	
DRAXIN	CHR1	+	11674367	11702923	1	1	N	
AGTRAP	CHR1	+	11718728	11733415	1	1	N	
MTHFR	CHR1	-	11768373	11788747	1	1	N	
CLCN6	CHR1	+	11788739	11825788	1	1	N	NPPA-AS1 CHR1 + 11822962 11830260;
NPPA-AS1	CHR1	+	11822962	11830260	1	1	N	CLCN6 CHR1 + 11788739 11825788;
NPPA	CHR1	-	11828353	11830427	1	1	N	
NPPB	CHR1	-	11840107	11841579	1	1	N	
KIAA2013	CHR1	-	11902231	11909072	1	1	N	
PLOD1	CHR1	+	11917310	11958186	1	1	N	
MFN2	CHR1	+	11962824	11996159	1	1	N	
MIIP	CHR1	+	12001885	12014693	1	1	N	
TNFRSF8	CHR1	+	12046020	12126851	1	1	N	
TNFRSF1B	CHR1	+	12149646	12191864	1	1	N	MIR4632 CHR1 + 12174348 12174426;
MIR4632	CHR1	+	12174348	12174426	1	1	N	TNFRSF1B CHR1 + 12149646 12191864;
VPS13D	CHR1	+	12212699	12494685	1	1	N	SNORA59A CHR1 + 12489886 12490038;
SNORA59A	CHR1	+	12489886	12490038	1	1	N	VPS13D CHR1 + 12212699 12494685;
DHRS3	CHR1	-	12550525	12600407	1	1	N	
AADACL4	CHR1	+	12627152	12649684	1	1	N	
AADACL3	CHR1	+	12698704	12711313	1	1	N	
C1orf158	CHR1	+	12728749	12743689	1	1	N	
PRAMEF12	CHR1	+	12757570	12760635	1	1	N	
PRAMEF1	CHR1	+	12774132	12779364	1	1	N	
PRAMEF11	CHR1	-	12807054	12813851	1	1	N	
LOC649330	CHR1	-	12829822	12830824	1	1	N	HNRNPCL1 CHR1 - 12829847 12831165;
HNRNPCL1	CHR1	-	12829847	12831165	1	1	N	LOC649330 CHR1 - 12829822 12830824;
PRAMEF2	CHR1	+	12839527	12844351	1	1	N	
PRAMEF4	CHR1	-	12861619	12868612	1	1	N	
PRAMEF10	CHR1	-	12875313	12880681	1	1	N	
PRAMEF7	CHR1	+	12900099	12902820	1	1	N	
PRAMEF6	CHR1	-	12920888	12929993	1	1	N	
PRAMEF22	CHR1	+	12958129	12960968	1	1	N	
LOC440563	CHR1	-	13105546	13106913	1	1	N	
PRAMEF3	CHR1	-	13200782	13204279	1	1	N	
PRAMEF5	CHR1	+	13232405	13241644	1	1	N	
PRAMEF8	CHR1	-	13259233	13484137	1	1	Y	PRAMEF14 CHR1 - 13320000 13546098;PRAMEF18 CHR1 - 13346639 13570992;PRAMEF19 CHR1 - 13346639 13570992;
PRAMEF15	CHR1	+	13293762	13521574	1	1	Y	PRAMEF16 CHR1 + 13367840 13370846;PRAMEF20 CHR1 + 13388652 13620390;PRAMEF21 CHR1 + 13394549 13620390;PRAMEF9 CHR1 + 13293762 13521575;
PRAMEF9	CHR1	+	13293762	13521575	1	1	Y	PRAMEF15 CHR1 + 13293762 13521574;PRAMEF16 CHR1 + 13367840 13370846;PRAMEF20 CHR1 + 13388652 13620390;PRAMEF21 CHR1 + 13394549 13620390;
PRAMEF14	CHR1	-	13320000	13546098	1	1	Y	PRAMEF13 CHR1 - 13540855 13546098;PRAMEF18 CHR1 - 13346639 13570992;PRAMEF19 CHR1 - 13346639 13570992;PRAMEF8 CHR1 - 13259233 13484137;
PRAMEF18	CHR1	-	13346639	13570992	1	1	Y	PRAMEF13 CHR1 - 13540855 13546098;PRAMEF14 CHR1 - 13320000 13546098;PRAMEF19 CHR1 - 13346639 13570992;PRAMEF8 CHR1 - 13259233 13484137;
PRAMEF19	CHR1	-	13346639	13570992	1	1	Y	PRAMEF13 CHR1 - 13540855 13546098;PRAMEF14 CHR1 - 13320000 13546098;PRAMEF18 CHR1 - 13346639 13570992;PRAMEF8 CHR1 - 13259233 13484137;
PRAMEF16	CHR1	+	13367840	13370846	1	1	N	PRAMEF15 CHR1 + 13293762 13521574;PRAMEF9 CHR1 + 13293762 13521575;
PRAMEF20	CHR1	+	13388652	13620390	1	1	Y	PRAMEF15 CHR1 + 13293762 13521574;PRAMEF17 CHR1 + 13588674 13591651;PRAMEF21 CHR1 + 13394549 13620390;PRAMEF9 CHR1 + 13293762 13521575;
PRAMEF21	CHR1	+	13394549	13620390	1	1	Y	PRAMEF15 CHR1 + 13293762 13521574;PRAMEF17 CHR1 + 13588674 13591651;PRAMEF20 CHR1 + 13388652 13620390;PRAMEF9 CHR1 + 13293762 13521575;
PRAMEF13	CHR1	-	13540855	13546098	1	1	N	PRAMEF14 CHR1 - 13320000 13546098;PRAMEF18 CHR1 - 13346639 13570992;PRAMEF19 CHR1 - 13346639 13570992;
PRAMEF17	CHR1	+	13588674	13591651	1	1	N	PRAMEF20 CHR1 + 13388652 13620390;PRAMEF21 CHR1 + 13394549 13620390;
LRRC38	CHR1	-	13674031	13712829	1	1	N	
PDPN	CHR1	+	13782838	13817039	1	1	N	
PRDM2	CHR1	+	13899321	14024161	1	1	N	
KAZN	CHR1	+	14797799	15317131	1	1	N	
C1orf126	CHR1	-	15310897	15351547	1	1	N	
TMEM51	CHR1	+	15351614	15419561	1	1	N	
FHAD1	CHR1	+	15446354	15597209	1	1	N	
EFHD2	CHR1	+	15608977	15629426	1	1	N	
CTRC	CHR1	+	15637524	15645740	1	1	N	
CELA2A	CHR1	+	15655809	15671173	1	1	N	
CELA2B	CHR1	+	15675182	15690482	1	1	N	
CASP9	CHR1	-	15691355	15723872	1	1	N	
DNAJC16	CHR1	+	15725938	15770815	1	1	N	
AGMAT	CHR1	-	15770780	15784192	1	1	N	
DDI2	CHR1	+	15816539	15860139	1	1	N	RSC1A1 CHR1 + 15858950 15860804;
RSC1A1	CHR1	+	15858950	15860804	1	1	N	DDI2 CHR1 + 15816539 15860139;
PLEKHM2	CHR1	+	15883413	15933851	1	1	N	
SLC25A34	CHR1	+	15935395	15940471	1	1	N	
TMEM82	CHR1	+	15941503	15947064	1	1	N	
FBLIM1	CHR1	+	15957841	15985671	1	1	N	
UQCRHL	CHR1	-	16006243	16006781	1	1	N	
FLJ37453	CHR1	-	16033296	16047229	1	1	N	
SPEN	CHR1	+	16046945	16139537	1	1	N	
ZBTB17	CHR1	-	16140950	16175214	1	1	N	
C1orf64	CHR1	+	16203317	16205771	1	1	N	
HSPB7	CHR1	-	16213109	16217872	1	1	N	
CLCNKA	CHR1	+	16221072	16233132	1	1	N	
CLCNKB	CHR1	+	16242817	16256408	1	1	N	
FAM131C	CHR1	-	16256850	16272714	1	1	N	
EPHA2	CHR1	-	16323418	16355169	1	1	N	
ARHGEF19	CHR1	-	16397185	16411691	1	1	N	
RSG1	CHR1	-	16430768	16436246	1	1	N	
FBXO42	CHR1	-	16449145	16551535	1	1	N	
SZRD1	CHR1	+	16566169	16597227	1	1	N	
SPATA21	CHR1	-	16597724	16636506	1	1	N	
NECAP2	CHR1	+	16639753	16659171	1	1	N	
CROCCP3	CHR1	-	16666517	16691783	1	1	N	
NBPF1	CHR1	-	16762998	16812569	1	1	N	
CROCCP2	CHR1	-	16817337	16829988	1	1	N	
MST1P2	CHR1	+	16844655	16849502	1	1	N	
ESPNP	CHR1	-	16890299	16919239	1	1	N	
MST1P9	CHR1	-	16953987	16963562	1	1	N	
MIR3675	CHR1	-	17058030	17058103	1	1	N	
CROCC	CHR1	+	17121031	17172061	1	1	N	
MFAP2	CHR1	-	17173585	17180668	1	1	N	
ATP13A2	CHR1	-	17185039	17211010	1	1	N	
SDHB	CHR1	-	17217811	17253252	1	1	N	
PADI2	CHR1	-	17265842	17318535	1	1	N	
PADI1	CHR1	+	17404207	17445088	1	1	N	
PADI3	CHR1	+	17448179	17483314	1	1	N	
PADI4	CHR1	+	17507276	17563082	1	1	N	
PADI6	CHR1	+	17571327	17600782	1	1	N	
RCC2	CHR1	-	17605837	17638837	1	1	N	
ARHGEF10L	CHR1	+	17738916	17896957	1	1	N	
ACTL8	CHR1	+	17954394	18026145	1	1	N	
IGSF21	CHR1	+	18306826	18577564	1	1	N	
KLHDC7A	CHR1	+	18680010	18685067	1	1	N	
PAX7	CHR1	+	18830086	18947947	1	1	N	
TAS1R2	CHR1	-	19038679	19058742	1	1	N	
ALDH4A1	CHR1	-	19070510	19101880	1	1	N	MIR4695 CHR1 - 19082282 19082356;
MIR4695	CHR1	-	19082282	19082356	1	1	N	ALDH4A1 CHR1 - 19070510 19101880;
IFFO2	CHR1	-	19103360	19155413	1	1	N	
UBR4	CHR1	-	19273586	19409333	1	1	N	
EMC1	CHR1	-	19414744	19450640	1	1	N	
MRTO4	CHR1	+	19450661	19459209	1	1	N	
AKR7L	CHR1	-	19465062	19473155	1	1	N	
AKR7A3	CHR1	-	19481643	19487867	1	1	N	
LOC100506730	CHR1	-	19492327	19494817	1	1	N	
AKR7A2	CHR1	-	19501788	19511227	1	1	N	
PQLC2	CHR1	+	19511326	19528381	1	1	N	
CAPZB	CHR1	-	19537853	19684653	1	1	N	
C1orf151-NBL1	CHR1	+	19796057	19857536	1	1	N	MINOS1 CHR1 + 19796057 19828902;NBL1 CHR1 + 19842309 19857536;
MINOS1	CHR1	+	19796057	19828902	1	1	N	C1orf151-NBL1 CHR1 + 19796057 19857536;
NBL1	CHR1	+	19842309	19857536	1	1	N	C1orf151-NBL1 CHR1 + 19796057 19857536;
HTR6	CHR1	+	19864366	19878642	1	1	N	
TMCO4	CHR1	-	19881292	19998997	1	1	N	
RNF186	CHR1	-	20013108	20014358	1	1	N	
OTUD3	CHR1	+	20081474	20112024	1	1	N	
PLA2G2E	CHR1	-	20119386	20122697	1	1	N	
PLA2G2A	CHR1	-	20174510	20179519	1	1	N	
PLA2G5	CHR1	+	20269287	20290981	1	1	N	
PLA2G2D	CHR1	-	20311020	20318595	1	1	N	
PLA2G2F	CHR1	+	20338409	20349466	1	1	N	
PLA2G2C	CHR1	-	20363070	20374274	1	1	N	
UBXN10	CHR1	+	20385164	20392529	1	1	N	
VWA5B1	CHR1	+	20489998	20553974	1	1	N	
LOC339505	CHR1	-	20558880	20627874	1	1	N	
CAMK2N1	CHR1	-	20681470	20685315	1	1	N	
MUL1	CHR1	-	20698527	20707261	1	1	N	
FAM43B	CHR1	+	20751518	20754100	1	1	N	
CDA	CHR1	+	20788030	20817987	1	1	N	
PINK1	CHR1	+	20832534	20850591	1	1	N	
DDOST	CHR1	-	20850846	20860624	1	1	N	
KIF17	CHR1	-	20863093	20916904	1	1	N	
SH2D5	CHR1	-	20918811	20931720	1	1	N	
HP1BP3	CHR1	-	20941757	20985768	1	1	N	
EIF4G3	CHR1	-	21005371	21375968	1	1	N	
ECE1	CHR1	-	21416326	21544621	1	1	N	
LOC100506801	CHR1	+	21492369	21498949	1	1	N	
NBPF3	CHR1	+	21639207	21683980	1	1	N	
ALPL	CHR1	+	21708444	21777492	1	1	N	
RAP1GAP	CHR1	-	21795294	21868443	1	1	N	
USP48	CHR1	-	21877378	21982275	1	1	N	
LDLRAD2	CHR1	+	22011344	22024301	1	1	N	
HSPG2	CHR1	-	22021323	22136337	1	1	N	
CELA3B	CHR1	+	22176004	22188434	1	1	N	
CELA3A	CHR1	+	22200735	22211622	1	1	N	
LINC00339	CHR1	+	22224293	22230302	1	1	N	
CDC42	CHR1	+	22251706	22292023	1	1	N	
WNT4	CHR1	-	22316384	22342106	1	1	N	
ZBTB40	CHR1	+	22650930	22730237	1	1	N	
EPHA8	CHR1	+	22762590	22802674	1	1	N	
C1QA	CHR1	+	22835704	22838762	1	1	N	
C1QC	CHR1	+	22842704	22847190	1	1	N	
C1QB	CHR1	+	22852268	22860616	1	1	N	
EPHB2	CHR1	+	22909917	23114410	1	1	N	MIR4684 CHR1 + 22918596 22918678;
MIR4684	CHR1	+	22918596	22918678	1	1	N	EPHB2 CHR1 + 22909917 23114410;
MIR4253	CHR1	-	23062238	23062306	1	1	N	
LOC729059	CHR1	-	23209913	23214930	1	1	N	
KDM1A	CHR1	+	23218527	23282771	1	1	N	MIR3115 CHR1 + 23243384 23243452;
MIR3115	CHR1	+	23243384	23243452	1	1	N	KDM1A CHR1 + 23218527 23282771;
LUZP1	CHR1	-	23283102	23367938	1	1	N	
HTR1D	CHR1	-	23390974	23393809	1	1	N	
HNRNPR	CHR1	-	23508862	23543440	1	1	N	
ZNF436	CHR1	-	23558527	23568944	1	1	N	
C1orf213	CHR1	+	23568050	23570917	1	1	N	
TCEA3	CHR1	-	23580141	23623848	1	1	N	
ASAP3	CHR1	-	23627642	23683337	1	1	N	
E2F2	CHR1	-	23705506	23730299	1	1	N	
ID3	CHR1	-	23757007	23758872	1	1	N	
MDS2	CHR1	+	23826410	23839643	1	1	N	
RPL11	CHR1	+	23890855	23895502	1	1	N	
TCEB3	CHR1	+	23942442	23961136	1	1	N	
LOC100506963	CHR1	-	23959458	23977374	1	1	N	
PITHD1	CHR1	+	23977462	23987309	1	1	N	
LYPLA2	CHR1	+	23990232	23994616	1	1	N	
GALE	CHR1	-	23994675	23999881	1	1	N	
HMGCL	CHR1	-	24000953	24024536	1	1	N	
FUCA1	CHR1	-	24044158	24067446	1	1	N	
CNR2	CHR1	-	24073046	24112404	1	1	N	
MIR378F	CHR1	+	24128146	24128224	1	1	N	
PNRC2	CHR1	+	24158887	24162536	1	1	N	
SRSF10	CHR1	-	24165523	24179540	1	1	N	
MYOM3	CHR1	-	24255117	24311252	1	1	N	
IL22RA1	CHR1	-	24318847	24342362	1	1	N	
IL28RA	CHR1	-	24353233	24386352	1	1	N	
LOC284632	CHR1	+	24399316	24410767	1	1	N	
GRHL3	CHR1	+	24518398	24563557	1	1	N	
STPG1	CHR1	-	24556075	24614174	1	1	N	
NIPAL3	CHR1	+	24614831	24672060	1	1	N	
RCAN3AS	CHR1	-	24695409	24701437	1	1	N	
RCAN3	CHR1	+	24701427	24736097	1	1	N	
NCMAP	CHR1	+	24755153	24808405	1	1	N	
SRRM1	CHR1	+	24842180	24872359	1	1	N	
CLIC4	CHR1	+	24944346	25043402	1	1	N	
RUNX3	CHR1	-	25098588	25164088	1	1	N	
SYF2	CHR1	-	25421353	25431600	1	1	N	
C1orf63	CHR1	-	25441326	25446572	1	1	N	
RHD	CHR1	+	25471567	25529523	1	1	N	
TMEM50A	CHR1	+	25537375	25561439	1	1	N	
RHCE	CHR1	-	25561326	25619950	1	1	N	
TMEM57	CHR1	+	25629974	25699285	1	1	N	
LDLRAP1	CHR1	+	25742662	25767964	1	1	N	
MAN1C1	CHR1	+	25816545	25983845	1	1	N	
SEPN1	CHR1	+	25999253	26017300	1	1	N	
FAM54B	CHR1	+	26018983	26032020	1	1	N	
LOC646471	CHR1	-	26019031	26022684	1	1	N	
AUNIP	CHR1	-	26033083	26058435	1	1	N	
PAQR7	CHR1	-	26060561	26070331	1	1	N	
STMN1	CHR1	-	26083263	26105955	1	1	N	MIR3917 CHR1 - 26105439 26105532;
MIR3917	CHR1	-	26105439	26105532	1	1	N	STMN1 CHR1 - 26083263 26105955;
PAFAH2	CHR1	-	26158844	26197235	1	1	N	
EXTL1	CHR1	+	26220857	26235541	1	1	N	
SLC30A2	CHR1	-	26237100	26245191	1	1	N	
TRIM63	CHR1	-	26250382	26266712	1	1	N	
PDIK1L	CHR1	+	26310242	26324626	1	1	N	
FAM110D	CHR1	+	26358097	26361706	1	1	N	
ZNF593	CHR1	+	26368974	26369951	1	1	N	
CNKSR1	CHR1	+	26376567	26388962	1	1	N	
CATSPER4	CHR1	+	26389705	26401620	1	1	N	
CEP85	CHR1	+	26433279	26477886	1	1	N	
SH3BGRL3	CHR1	+	26478799	26480600	1	1	N	
UBXN11	CHR1	-	26481359	26517343	1	1	N	
CD52	CHR1	+	26516997	26519601	1	1	N	
AIM1L	CHR1	-	26520936	26553208	1	1	N	
ZNF683	CHR1	-	26560711	26571853	1	1	N	
LIN28A	CHR1	+	26609855	26628806	1	1	N	
DHDDS	CHR1	+	26631359	26670382	1	1	N	
HMGN2	CHR1	+	26671488	26675720	1	1	N	
RPS6KA1	CHR1	+	26728835	26774107	1	1	N	MIR1976 CHR1 + 26753619 26753671;
MIR1976	CHR1	+	26753619	26753671	1	1	N	RPS6KA1 CHR1 + 26728835 26774107;
ARID1A	CHR1	+	26895108	26981188	1	1	N	
PIGV	CHR1	+	26987040	26997481	1	1	N	
ZDHHC18	CHR1	+	27025787	27054798	1	1	N	
SFN	CHR1	+	27062219	27063534	1	1	N	
GPN2	CHR1	-	27078459	27089456	1	1	N	
GPATCH3	CHR1	-	27089565	27099549	1	1	N	
NR0B2	CHR1	-	27110561	27113154	1	1	N	
NUDC	CHR1	+	27120799	27145949	1	1	N	
C1orf172	CHR1	-	27148633	27159488	1	1	N	
TRNP1	CHR1	+	27192781	27199964	1	1	N	
FAM46B	CHR1	-	27204097	27211920	1	1	N	
SLC9A1	CHR1	-	27297886	27354208	1	1	N	
WDTC1	CHR1	+	27433593	27507697	1	1	N	
TMEM222	CHR1	+	27521222	27535478	1	1	N	LOC644961 CHR1 + 27522951 27525603;
